id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime,Indoor,Popularity,ood_Type
0,长隆野生动物世界,游乐园/体育娱乐,23.007944,113.321711,全年,09:30,18:00,300.0,2.5,4.0,0,8,其它
1,广州长隆度假区,游乐园/体育娱乐,23.006399,113.330527,全年,00:00,24:00,0.0,2.5,4.0,0,8,其它
2,广州塔,人文景观,23.112223,113.331084,全年,09:30,22:30,149.0,0.5,1.5,0,8,"河边,约会圣地"
3,广州长隆国际大马戏,游乐园/体育娱乐,23.009036,113.337965,全年,15:00,21:00,350.0,1.0,2.0,1,8,其它
4,长隆欢乐世界,游乐园/体育娱乐,23.00481,113.33685,全年,10:00,18:00,250.0,2.5,4.0,0,8,其它
5,珠江夜游,游乐园/体育娱乐,23.115119,113.294879,全年,09:00,22:30,98.0,1.0,2.0,0,8,"江边,约会圣地"
6,长隆水上乐园,游乐园/体育娱乐,23.007665,113.330724,全年,10:00,21:30,69.0,2.0,3.0,0,8,其它
7,广东科学中心,游乐园/体育娱乐,23.045368,113.369589,全年,09:30,16:30,60.0,2.0,3.5,1,6,其它
8,陈家祠,历史古迹,23.132609,113.251995,全年,09:00,18:00,0.0,3.0,3.5,1,6,古风写真
9,长隆飞鸟乐园,游乐园/体育娱乐,23.031355,113.284204,全年,09:30,18:00,100.0,1.5,2.0,0,8,其它
10,沙面,历史古迹,23.112627,113.251119,全年,00:00,24:00,0.0,0.5,2.0,0,6,"古风写真,约会圣地"
11,广东省博物馆,博物馆/纪念馆,23.120537,113.33296,全年,00:00,24:00,0.0,2.5,4.0,1,6,其它
12,广州动物园,游乐园/体育娱乐,23.146478,113.311833,全年,08:00,18:00,0.0,3.0,4.0,0,7,其它
13,正佳广场商贸旅游区,商业街区,23.137807,113.333654,全年,10:00,22:00,0.0,3.0,3.5,1,6,其它
14,正佳极地海洋世界,游乐园/体育娱乐,23.137758,113.332856,全年,10:00,22:00,125.0,0.5,2.0,1,8,其它
15,南越王博物院(王墓展区),博物馆/纪念馆,23.143943,113.267507,全年,09:00,17:30,0.0,1.0,2.5,1,6,古风写真
16,中山纪念堂,红色景点,23.139129,113.271126,全年,09:00,17:30,8.0,2.0,3.5,1,6,其它
17,大佛古寺,历史古迹,23.128808,113.274392,全年,06:00,21:00,0.0,2.5,3.0,1,6,古风写真
18,白云山,自然风光,23.190623,113.306556,全年,00:00,24:00,0.0,1.0,2.0,0,6,其它
19,广州热雪奇迹,游乐园/体育娱乐,23.432566,113.23773,全年,10:30,20:30,198.0,1.5,3.0,1,8,其它
20,广州融创文旅城,游乐园/体育娱乐,23.435167,113.241125,全年,00:00,24:00,0.0,1.0,2.0,1,6,其它
21,中国科学院华南国家植物园,公园,23.188836,113.372578,全年,07:30,17:30,19.9,0.5,1.0,0,6,其它
23,北京路步行街,商业街区,23.127945,113.275422,全年,00:00,24:00,0.0,0.5,2.0,1,6,约会圣地
24,珠江夜游天字码头,游乐园/体育娱乐,23.120996,113.277576,全年,09:00,22:30,98.0,2.5,4.0,0,8,"江边,约会圣地"
25,越秀公园,公园,23.14608,113.272266,全年,00:00,22:00,0.0,0.5,2.0,0,6,其它
26,永庆坊,商业街区,23.120549,113.244008,全年,00:00,24:00,0.0,1.0,2.5,1,6,"古风写真,约会圣地"
27,西关永庆坊旅游区,文化旅游区,23.12075,113.244039,全年,00:00,24:00,0.0,2.5,4.0,1,6,"古风写真,约会圣地"
28,沙湾古镇,历史古迹,22.909439,113.340932,全年,09:00,17:30,30.0,1.5,3.0,0,6,古风写真
29,上下九步行街,商业街区,23.119805,113.252523,全年,00:00,24:00,0.0,3.0,4.0,0,8,约会圣地
30,广州圣心大教堂,历史古迹,23.120805,113.266558,全年,09:00,11:00,0.0,2.0,2.5,1,6,"古风写真,约会圣地"
31,广州融创乐园,游乐园/体育娱乐,23.435471,113.246764,全年,11:00,18:00,208.0,3.0,4.0,1,6,其它
32,白水寨风景名胜区,自然风光,23.599255,113.771154,全年,08:30,17:30,54.0,1.0,1.5,0,6,其它
33,岭南印象园,文化旅游区,23.043105,113.412924,全年,09:30,18:00,54.0,2.5,4.0,1,6,"古风写真,约会圣地"
34,黄埔军校旧址纪念馆,博物馆/纪念馆,23.092368,113.431318,全年,09:00,17:00,0.0,2.0,2.5,1,6,其它
35,宝墨园,文化旅游区,22.900712,113.300935,全年,08:30,17:00,48.0,2.0,2.5,1,5,古风写真
36,南沙天后宫,人文景观,22.762606,113.625188,全年,08:30,17:00,14.9,1.0,1.5,1,6,"海边,古风写真"
37,森林海嬉水乐园,游乐园/体育娱乐,23.573071,113.770945,全年,10:00,21:00,0.0,1.5,3.0,1,6,其它
38,广州博物馆,博物馆/纪念馆,23.143971,113.27211,全年,09:00,18:00,0.0,1.5,3.0,1,6,其它
39,珠江夜游广州塔财富码头,游乐园/体育娱乐,23.113208,113.333565,全年,09:00,22:30,108.0,1.5,3.0,0,8,"江边,约会圣地"
40,珠江夜游大沙头码头,游乐园/体育娱乐,23.118706,113.291887,全年,09:00,22:30,93.0,1.5,3.0,0,6,"江边,约会圣地"
42,余荫山房,历史古迹,23.017654,113.402024,全年,08:00,18:00,18.0,1.0,2.5,1,5,古风写真
43,莲花山旅游区,文化旅游区,22.993236,113.509893,全年,07:00,17:00,54.0,1.0,1.5,0,6,其它
44,广州海洋馆,游乐园/体育娱乐,23.149705,113.311261,全年,09:30,18:30,160.0,3.0,3.5,1,8,其它
45,海心沙亚运公园,公园,23.117202,113.331179,全年,07:00,23:00,0.0,1.0,2.0,0,6,"江边,约会圣地"
46,花城广场,商业街区,23.125752,113.331127,全年,00:00,24:00,0.0,0.5,1.0,0,8,其它
47,正佳雨林生态植物园,公园,23.137906,113.333565,全年,10:00,22:00,98.0,3.0,3.5,1,6,其它
48,广州都市双层观光巴士（粤陶巴）,游乐园/体育娱乐,23.113765,113.31604,全年,09:00,17:00,0.0,2.0,2.5,0,6,其它
49,广州兰圃,公园,23.149913,113.266761,全年,00:00,18:00,8.0,1.5,3.0,0,6,"古风写真,约会圣地"
50,海珠国家湿地公园,公园,23.072321,113.343072,全年,09:00,19:00,18.0,2.5,3.0,0,6,其它
51,正佳自然科学博物馆,博物馆/纪念馆,23.137456,113.334356,全年,10:00,20:00,40.0,2.5,4.0,1,6,其它
52,千泷沟大瀑布,自然风光,23.713006,113.865891,全年,09:00,18:00,58.0,0.5,1.0,0,6,其它
53,南越王博物院(王宫展区),历史古迹,23.1331,113.276352,全年,09:00,17:30,0.0,2.0,3.0,1,6,古风写真
54,广州塔阿尔法探索乐园,游乐园/体育娱乐,23.112223,113.331084,全年,15:00,22:00,378.0,1.5,3.0,1,6,其它
55,正佳企鹅冰雪世界,游乐园/体育娱乐,23.137465,113.333506,全年,11:00,20:00,158.0,1.0,1.5,1,6,其它
56,珠江夜游海心沙西区码头,游乐园/体育娱乐,23.116211,113.330131,全年,16:00,22:30,0.0,2.5,3.0,0,8,"江边,约会圣地"
57,天人山水大地艺术园,游乐园/体育娱乐,23.440908,113.594523,全年,10:00,19:00,58.0,0.5,1.0,1,6,其它
58,珠江夜游广州塔·中大码头,人文景观,23.109558,113.306007,全年,09:00,22:30,0.0,1.0,2.0,0,8,"江边,约会圣地"
59,海心桥,游乐园/体育娱乐,23.113958,113.325485,全年,07:00,23:00,0.0,2.0,2.5,0,6,"江边,约会圣地"
