id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime,Indoor,Popularity,ood_Type
0,灵隐寺,历史古迹,30.246914,120.107833,全年,06:30,17:45,0.0,0.5,1.5,1,8,古风写真
1,杭州宋城,游乐园/体育娱乐,30.175794,120.105381,全年,09:30,21:00,300.0,1.5,2.0,0,8,"古风写真,约会圣地"
2,西湖风景名胜区,自然风光,30.228932,120.12792,全年,00:00,24:00,0.0,1.0,2.0,0,8,"河边,古风写真,约会圣地"
3,西湖游船,自然风光,30.253883,120.155772,全年,08:00,17:00,55.0,2.0,3.0,0,8,"河边,约会圣地"
4,千岛湖景区,自然风光,29.593224,118.963964,全年,00:00,24:00,185.0,1.0,2.5,0,8,"河边,约会圣地"
5,西溪国家湿地公园,公园,30.27289,120.071528,全年,07:30,18:30,70.0,0.5,1.0,0,6,"河边,约会圣地"
6,灵隐飞来峰景区,文化旅游区,30.245216,120.108516,全年,06:30,17:30,45.0,0.5,1.0,0,8,"古风写真,约会圣地"
7,垂云通天河,游乐园/体育娱乐,29.931531,119.539381,全年,08:00,18:30,100.0,2.0,2.5,0,6,河边
8,OMG心跳乐园,游乐园/体育娱乐,29.931461,119.538763,全年,08:00,18:30,100.0,2.0,3.0,1,6,其它
9,雷峰塔,历史古迹,30.236901,120.155363,全年,08:00,20:00,0.0,0.5,2.0,0,6,古风写真
10,钱塘江,自然风光,30.135244,120.15319,全年,00:00,24:00,0.0,2.0,3.0,0,6,"江边,约会圣地"
11,钱塘江夜游,人文景观,30.216289,120.206476,全年,09:00,19:20,85.0,0.5,1.0,0,6,"江边,约会圣地"
12,千岛湖中心湖区,自然风光,29.600571,119.019626,全年,00:00,24:00,185.0,2.5,4.0,0,8,"河边,约会圣地"
13,岳王庙景区,历史古迹,30.258673,120.141115,全年,07:30,17:30,25.0,1.0,1.5,1,6,古风写真
14,杭州野生动物世界,游乐园/体育娱乐,30.16025,119.991307,全年,09:30,16:30,210.0,2.5,3.0,0,8,其它
15,京杭大运河杭州景区,文化旅游区,30.280038,120.168853,全年,09:00,20:20,119.0,2.0,3.0,0,6,"河边,古风写真"
16,三潭印月,公园,30.244073,120.150685,全年,08:00,17:00,55.0,1.0,2.5,0,6,"河边,古风写真,约会圣地"
