id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime
0,世界之窗,游乐园/体育娱乐,22.540746,113.979399,全年,09:30,21:30,115.0,2.0,3.0
1,锦绣中华民俗村,文化旅游区,22.537131,113.995003,全年,10:00,21:00,69.0,0.5,2.0
2,深圳平安金融中心云际观光层,人文景观,22.538844,114.062186,全年,10:00,20:00,180.0,0.5,1.5
3,深圳欢乐谷,游乐园/体育娱乐,22.548012,113.986939,全年,10:00,19:00,130.0,0.5,1.5
4,深圳野生动物园,游乐园/体育娱乐,22.602723,113.97699,全年,09:30,18:00,99.0,1.5,2.0
5,东部华侨城,游乐园/体育娱乐,22.632382,114.294208,全年,09:30,18:00,200.0,1.0,2.0
6,欢乐港湾,游乐园/体育娱乐,22.550112,113.888645,全年,10:30,22:00,0.0,1.0,2.0
7,大梅沙海滨公园,公园,22.598129,114.313955,全年,07:00,22:00,0.0,2.0,2.5
8,招商蛇口邮轮母港游览,游乐园/体育娱乐,22.474665,113.919967,全年,07:00,21:00,0.0,2.0,3.0
9,地王观光·深港之窗,人文景观,22.54878,114.116522,全年,08:00,22:30,79.0,2.0,3.0
10,大湾区一号（港珠澳大桥航线）,游乐园/体育娱乐,22.474665,113.919967,全年,00:00,24:00,0.0,2.0,3.0
11,玫瑰海岸文化旅游度假区,文化旅游区,22.615927,114.383865,全年,00:00,24:00,46.0,2.0,2.5
12,深圳湾公园,公园,22.524806,113.969405,全年,06:00,23:00,0.0,3.0,4.0
13,甘坑古镇,文化旅游区,22.663821,114.10953,全年,00:00,24:00,26.0,3.0,4.0
14,小梅沙度假村,游乐园/体育娱乐,22.60689,114.334468,全年,10:00,21:00,45.0,0.5,2.0
15,桔钓沙,自然风光,22.561188,114.562404,全年,09:00,18:00,0.0,2.0,3.0
16,大鹏半岛,自然风光,22.534605,114.537454,全年,00:00,24:00,0.0,2.0,2.5
17,东门老街,商业街区,22.550461,114.122671,全年,00:00,24:00,0.0,2.0,3.0
18,深圳华侨城旅游度假区,游乐园/体育娱乐,22.544406,113.99117,全年,00:00,24:00,0.0,0.5,1.0
19,深圳欢乐海岸,游乐园/体育娱乐,22.529689,113.994371,全年,00:00,24:00,0.0,0.5,1.0
20,西涌,自然风光,22.487953,114.557066,全年,00:00,24:00,0.0,2.5,3.0
21,二十四史书院,文化旅游区,22.667374,114.107486,全年,10:30,21:30,39.0,3.0,3.5
22,中英街,商业街区,22.551336,114.238571,全年,09:00,22:00,0.0,2.0,2.5
23,蛇口工业区,商业街区,22.489321,113.922707,全年,06:15,22:00,0.0,2.0,3.0
24,观澜海洋世界,游乐园/体育娱乐,22.727389,114.084971,全年,09:00,18:00,135.0,0.5,1.0
25,东部华侨城大侠谷,游乐园/体育娱乐,22.614742,114.30781,全年,09:30,18:00,200.0,1.5,2.0
26,杨梅坑,自然风光,22.550779,114.578274,全年,00:00,24:00,0.0,2.0,3.0
27,红树林海滨生态公园,公园,22.529593,114.007715,全年,09:00,18:00,0.0,0.5,1.5
28,深圳博物馆,博物馆/纪念馆,22.549321,114.068288,全年,10:00,18:00,0.0,2.0,2.5
29,深圳市民中心,人文景观,22.549351,114.066182,全年,00:00,24:00,0.0,3.0,4.0
30,欢乐海岸海洋奇梦馆,游乐园/体育娱乐,22.531987,113.994672,全年,13:30,22:00,45.0,2.0,3.0
31,青青世界,游乐园/体育娱乐,22.505076,113.907639,全年,08:30,18:00,76.0,1.5,2.0
32,深圳玛雅海滩水公园,游乐园/体育娱乐,22.547982,113.985916,全年,13:00,21:00,130.0,2.0,2.5
33,蛇口港珠海游轮,游乐园/体育娱乐,22.474693,113.919947,全年,07:30,21:30,0.0,0.5,1.5
35,大鹏所城,历史古迹,22.600032,114.520096,全年,00:00,24:00,0.0,1.0,2.5
36,海上世界,游乐园/体育娱乐,22.488788,113.92358,全年,00:00,24:00,88.0,0.5,1.0
38,金色海岸,自然风光,22.590567,114.284875,全年,17:00,17:30,0.0,0.5,1.0
39,仙湖植物园,公园,22.583562,114.181318,全年,00:00,18:00,0.0,1.0,2.0
40,广东梧桐山国家森林公园,公园,22.5838,114.221632,全年,06:00,19:00,0.0,2.5,3.0
41,莲花山公园,公园,22.559257,114.065193,全年,06:30,23:00,0.0,1.0,2.0
42,深圳观光巴士,游乐园/体育娱乐,22.527998,113.998652,全年,09:00,17:00,50.0,0.5,2.0
43,较场尾,人文景观,22.596202,114.51552,全年,06:00,22:00,300.0,1.0,1.5
45,南头古城,历史古迹,22.549163,113.927048,全年,00:00,24:00,0.0,0.5,1.0
46,大芬油画村,人文景观,22.615801,114.142665,全年,09:30,17:30,0.0,2.5,4.0
47,海上田园,自然风光,22.731941,113.777756,全年,09:00,21:00,49.9,2.5,3.0
48,凤凰古村,文化旅游区,22.697435,113.845676,全年,00:00,24:00,0.0,3.0,4.0
49,盐田海滨栈道,公园,22.558678,114.248517,全年,00:00,24:00,0.0,2.0,3.5
50,海上世界文化艺术中心,美术馆/艺术馆,22.486077,113.922944,全年,10:00,19:00,0.0,2.0,3.0
51,观澜湖休闲旅游区,游乐园/体育娱乐,22.744351,114.083908,全年,00:00,24:00,0.0,1.5,3.0
52,观澜湖生态运动公社,游乐园/体育娱乐,22.724672,114.085207,全年,09:00,18:00,29.9,1.0,2.0
53,深圳科学馆,博物馆/纪念馆,22.548485,114.102354,全年,00:00,24:00,0.0,2.0,2.5
54,荷兰花卉小镇,公园,22.549735,113.91787,全年,08:30,21:00,0.0,1.0,2.0
56,深圳人才公园,公园,22.512223,113.955487,全年,06:00,23:00,0.0,0.5,1.0
57,锦绣中华,游乐园/体育娱乐,22.539142,113.997118,全年,16:00,21:00,0.0,0.5,1.0
58,南山公园,公园,22.500143,113.912003,全年,00:00,24:00,0.0,1.0,1.5
59,南山,公园,22.502974,113.91291,全年,00:00,24:00,0.0,0.5,1.0
60,华侨城创意文化园,文化旅游区,22.543649,113.99986,全年,00:00,24:00,0.0,2.5,3.0
61,光明农场大观园,游乐园/体育娱乐,22.764237,113.968991,全年,09:00,17:00,72.9,0.5,2.0
62,湾区游轮,游乐园/体育娱乐,22.474317,113.920446,全年,00:00,24:00,0.0,3.0,3.5
63,深圳市天文台,人文景观,22.48556,114.565898,全年,09:00,12:00,0.0,1.0,2.0
64,大梅沙海滩,自然风光,22.59867,114.315742,全年,07:00,23:00,0.0,3.0,3.5
65,深圳teamLab共创！未来园,游乐园/体育娱乐,22.534017,114.035093,全年,10:00,22:00,79.0,0.5,1.0
66,深圳图书馆,人文景观,22.551343,114.063825,全年,09:00,21:00,0.0,1.5,2.0
67,西涌滨海旅游度假区,游乐园/体育娱乐,22.481558,114.539055,全年,09:00,24:00,0.0,0.5,1.0
69,大鹏半岛洲际游艇航海中心,游乐园/体育娱乐,22.560753,114.563888,全年,00:00,24:00,0.0,0.5,1.0
70,深圳市当代艺术与城市规划馆,博物馆/纪念馆,22.551648,114.067947,全年,10:00,18:00,0.0,3.0,4.0
71,深圳华润大厦艺术中心,美术馆/艺术馆,22.52058,113.953216,全年,10:00,22:00,0.0,2.0,2.5
72,鹿嘴山庄,自然风光,22.546455,114.613672,全年,00:00,24:00,0.0,0.5,2.0
73,大运中心体育场,游乐园/体育娱乐,22.703088,114.224436,全年,09:00,22:30,0.0,2.0,3.5
74,深圳会展中心（福田馆）,商业街区,22.536478,114.066315,全年,09:00,17:00,0.0,2.5,4.0
75,深圳机场码头游船,游乐园/体育娱乐,22.606327,113.821243,全年,00:00,24:00,0.0,0.5,1.0
76,海上彩虹号,游乐园/体育娱乐,22.606327,113.821243,全年,09:30,19:00,0.0,2.0,3.5
77,尼克Playtime乐园,游乐园/体育娱乐,22.53047,113.998454,全年,10:00,21:00,0.0,0.5,1.5
78,虹桥公园,公园,22.752728,113.959141,全年,07:00,19:00,0.0,1.0,2.5
80,愿望塔,游乐园/体育娱乐,22.60106,114.316145,全年,10:00,21:00,39.0,0.5,1.0
81,海边公园,公园,22.539573,113.89869,全年,00:00,24:00,0.0,0.5,1.5
82,观澜版画村,文化旅游区,22.749032,114.097519,全年,09:00,19:00,0.0,2.0,2.5
83,南澳第一沙滩,自然风光,22.552902,114.488023,全年,08:00,18:00,0.0,1.0,1.5
84,何香凝美术馆,美术馆/艺术馆,22.539465,113.988109,全年,09:30,17:00,0.0,1.5,3.0
85,观澜山水田园文化园,文化旅游区,22.720384,114.113827,全年,08:30,21:00,99.0,1.0,2.5
86,直升机空中游览飞行观光,游乐园/体育娱乐,22.648063,113.829772,全年,09:30,17:30,3980.0,1.0,2.5
87,大梅沙海滨栈道,自然风光,22.587526,114.312314,全年,00:00,24:00,0.0,2.5,4.0
88,南山博物馆,博物馆/纪念馆,22.540715,113.93048,全年,10:00,17:00,0.0,0.5,1.5
89,深圳国际园林花卉博览园,公园,22.544055,114.009914,全年,06:00,23:00,0.0,1.0,2.5
90,七星湾游艇会,游乐园/体育娱乐,22.56827,114.547299,全年,00:00,24:00,0.0,3.0,4.0
91,法拉帝游艇海钓俱乐部,游乐园/体育娱乐,22.561508,114.564975,全年,00:00,24:00,0.0,2.5,4.0
92,蛇口口岸,人文景观,22.482004,113.919541,全年,00:00,24:00,0.0,3.0,3.5
93,云里梦想乐园,游乐园/体育娱乐,22.636385,114.075714,全年,09:00,22:00,93.0,2.5,3.0
94,星高度梦想水世界,游乐园/体育娱乐,22.637461,114.075476,全年,15:30,21:00,0.0,2.0,2.5
95,西乡夜市街,商业街区,22.58798,113.866194,全年,16:00,01:00,0.0,2.0,3.0
96,宝安西湾红树林公园,公园,22.593597,113.843305,全年,00:00,24:00,0.0,2.0,3.5
97,观澜古墟,历史古迹,22.724749,114.060326,全年,08:00,24:00,0.0,2.0,2.5
98,海昌·乐漫冰雪王国(深圳海雅店),游乐园/体育娱乐,22.565974,113.912226,全年,10:00,22:00,178.0,0.5,1.5
99,弘法寺,人文景观,22.583514,114.188174,全年,00:00,18:00,0.0,1.5,3.0
102,奈尔宝家庭中心(卓悦店),游乐园/体育娱乐,22.54231,114.070901,全年,10:00,21:00,0.0,0.5,1.0
103,大梅沙游艇出租中心,游乐园/体育娱乐,22.603396,114.320606,全年,00:00,23:00,0.0,3.0,3.5
104,福田红树林生态公园,公园,22.517213,114.049388,全年,06:00,23:00,0.0,2.5,3.0
105,深圳红立方,游乐园/体育娱乐,22.723965,114.254512,全年,09:30,18:00,0.0,0.5,1.0
106,客家土楼(福建),历史古迹,22.535637,113.998965,全年,10:30,19:00,0.0,0.5,1.0
108,水围1368文化街区,商业街区,22.525026,114.068378,全年,00:00,24:00,0.0,3.0,4.0
109,玫瑰小镇,游乐园/体育娱乐,22.592297,114.487594,全年,09:00,17:00,49.0,2.5,4.0
110,官湖沙滩,自然风光,22.607996,114.42919,全年,07:00,21:00,0.0,1.5,3.0
111,后海,人文景观,22.512803,113.941981,全年,00:00,24:00,0.0,2.0,3.0
113,前海石公园,公园,22.532339,113.895748,全年,00:00,24:00,0.0,2.0,2.5
114,卡鲁冰雪世界,游乐园/体育娱乐,22.723564,114.08611,全年,10:00,22:00,0.0,2.0,2.5
115,南澳蓝宝石沙滩,自然风光,22.543927,114.490429,全年,00:00,24:00,0.0,2.5,4.0
116,冰纷万象滑冰场,游乐园/体育娱乐,22.546085,114.117812,全年,10:30,22:00,0.0,1.5,2.0
117,深圳博物馆-古代艺术馆,博物馆/纪念馆,22.548602,114.108022,全年,10:00,18:17,0.0,3.0,3.5
118,求水山景区,游乐园/体育娱乐,22.604436,114.150121,全年,09:00,19:30,0.0,1.5,2.0
119,东涌沙滩,自然风光,22.495454,114.59069,全年,09:00,18:00,0.0,2.0,3.0
120,北站中心公园,公园,22.612581,114.031468,全年,06:00,22:00,0.0,1.0,2.0
121,华·美术馆,美术馆/艺术馆,22.53914,113.989372,全年,10:00,17:30,0.0,2.5,3.0
122,深圳湾大桥,人文景观,22.493012,113.957048,全年,00:00,24:00,0.0,1.0,2.5
124,东山寺,历史古迹,22.602493,114.5263,全年,08:00,17:00,0.0,2.0,2.5
125,深圳大鹏金沙湾沙滩,自然风光,22.57562,114.467912,全年,08:00,18:00,0.0,1.5,3.0
126,龙岗儿童公园,游乐园/体育娱乐,22.741904,114.231905,全年,06:00,22:00,0.0,1.0,1.5
127,华强北博物馆,博物馆/纪念馆,22.550102,114.093668,全年,10:00,18:00,0.0,2.0,3.0
128,深圳大学城,大学校园,22.590581,113.982769,全年,07:30,21:30,0.0,1.5,2.0
130,大芬美术馆,美术馆/纪念馆,22.616079,114.144869,全年,09:30,17:30,0.0,1.5,3.0
131,笔架山公园,公园,22.568123,114.086519,全年,00:00,17:30,0.0,2.5,4.0
132,大沙河公园,公园,22.562707,113.968234,全年,00:00,24:00,0.0,1.0,2.0
133,中英街历史博物馆,博物馆/纪念馆,22.547992,114.237533,全年,09:00,16:30,0.0,1.0,1.5
134,锦绣中华-少数民族民居,人文景观,22.537034,113.99779,全年,09:30,21:00,0.0,0.5,2.0
135,大鹏半岛地质公园,公园,22.534584,114.537636,全年,09:30,16:00,0.0,2.0,3.0
136,玫瑰海岸沙滩,自然风光,22.615324,114.381268,全年,00:00,24:00,0.0,1.5,3.0
