id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime,Indoor,Popularity,ood_Type
0,世界之窗,游乐园/体育娱乐,22.540746,113.979399,全年,09:30,21:30,115.0,2.0,3.0,1,6,其它
1,锦绣中华民俗村,文化旅游区,22.537131,113.995003,全年,10:00,21:00,69.0,0.5,2.0,0,6,其它
2,深圳平安金融中心云际观光层,人文景观,22.538844,114.062186,全年,10:00,20:00,180.0,0.5,1.5,1,6,其它
3,深圳欢乐谷,游乐园/体育娱乐,22.548012,113.986939,全年,10:00,19:00,130.0,0.5,1.5,0,8,其它
4,深圳野生动物园,游乐园/体育娱乐,22.602723,113.97699,全年,09:30,18:00,99.0,1.5,2.0,0,8,其它
5,东部华侨城,游乐园/体育娱乐,22.632382,114.294208,全年,09:30,18:00,200.0,1.0,2.0,0,6,其它
6,欢乐港湾,游乐园/体育娱乐,22.550112,113.888645,全年,10:30,22:00,0.0,1.0,2.0,1,6,"海边,约会圣地"
7,大梅沙海滨公园,公园,22.598129,114.313955,全年,07:00,22:00,0.0,2.0,2.5,0,8,"海边,约会圣地"
8,招商蛇口邮轮母港游览,游乐园/体育娱乐,22.474665,113.919967,全年,07:00,21:00,0.0,2.0,3.0,0,6,"海边,约会圣地"
9,地王观光·深港之窗,人文景观,22.54878,114.116522,全年,08:00,22:30,79.0,2.0,3.0,1,6,其它
10,大湾区一号（港珠澳大桥航线）,游乐园/体育娱乐,22.474665,113.919967,全年,00:00,24:00,0.0,2.0,3.0,0,8,其它
11,玫瑰海岸文化旅游度假区,文化旅游区,22.615927,114.383865,全年,00:00,24:00,46.0,2.0,2.5,0,6,"海边,约会圣地"
12,深圳湾公园,公园,22.524806,113.969405,全年,06:00,23:00,0.0,3.0,4.0,0,8,"海边,约会圣地"
13,甘坑古镇,文化旅游区,22.663821,114.10953,全年,00:00,24:00,26.0,3.0,4.0,0,6,古风写真
14,小梅沙度假村,游乐园/体育娱乐,22.60689,114.334468,全年,10:00,21:00,45.0,0.5,2.0,0,6,"海边,约会圣地"
15,桔钓沙,自然风光,22.561188,114.562404,全年,09:00,18:00,0.0,2.0,3.0,0,6,"海边,约会圣地"
16,大鹏半岛,自然风光,22.534605,114.537454,全年,00:00,24:00,0.0,2.0,2.5,0,6,"海边,约会圣地"
17,东门老街,商业街区,22.550461,114.122671,全年,00:00,24:00,0.0,2.0,3.0,0,6,"古风写真,约会圣地"
18,深圳华侨城旅游度假区,游乐园/体育娱乐,22.544406,113.99117,全年,00:00,24:00,0.0,0.5,1.0,0,8,其它
19,深圳欢乐海岸,游乐园/体育娱乐,22.529689,113.994371,全年,00:00,24:00,0.0,0.5,1.0,0,8,"海边,约会圣地"
20,西涌,自然风光,22.487953,114.557066,全年,00:00,24:00,0.0,2.5,3.0,0,6,"海边,约会圣地"
21,二十四史书院,文化旅游区,22.667374,114.107486,全年,10:30,21:30,39.0,3.0,3.5,1,6,古风写真
22,中英街,商业街区,22.551336,114.238571,全年,09:00,22:00,0.0,2.0,2.5,1,5,其它
23,蛇口工业区,商业街区,22.489321,113.922707,全年,06:15,22:00,0.0,2.0,3.0,0,5,其它
24,观澜海洋世界,游乐园/体育娱乐,22.727389,114.084971,全年,09:00,18:00,135.0,0.5,1.0,1,6,海边
25,东部华侨城大侠谷,游乐园/体育娱乐,22.614742,114.30781,全年,09:30,18:00,200.0,1.5,2.0,0,6,其它
26,杨梅坑,自然风光,22.550779,114.578274,全年,00:00,24:00,0.0,2.0,3.0,0,6,"海边,约会圣地"
27,红树林海滨生态公园,公园,22.529593,114.007715,全年,09:00,18:00,0.0,0.5,1.5,0,6,"海边,约会圣地"
28,深圳博物馆,博物馆/纪念馆,22.549321,114.068288,全年,10:00,18:00,0.0,2.0,2.5,1,6,其它
29,深圳市民中心,人文景观,22.549351,114.066182,全年,00:00,24:00,0.0,3.0,4.0,1,6,其它
30,欢乐海岸海洋奇梦馆,游乐园/体育娱乐,22.531987,113.994672,全年,13:30,22:00,45.0,2.0,3.0,1,6,"海边,约会圣地"
31,青青世界,游乐园/体育娱乐,22.505076,113.907639,全年,08:30,18:00,76.0,1.5,2.0,1,5,其它
32,深圳玛雅海滩水公园,游乐园/体育娱乐,22.547982,113.985916,全年,13:00,21:00,130.0,2.0,2.5,0,0,"海边,约会圣地"
33,蛇口港珠海游轮,游乐园/体育娱乐,22.474693,113.919947,全年,07:30,21:30,0.0,0.5,1.5,0,6,"海边,约会圣地"
35,大鹏所城,历史古迹,22.600032,114.520096,全年,00:00,24:00,0.0,1.0,2.5,0,6,"古风写真,约会圣地"
36,海上世界,游乐园/体育娱乐,22.488788,113.92358,全年,00:00,24:00,88.0,0.5,1.0,0,6,"海边,约会圣地"
38,金色海岸,自然风光,22.590567,114.284875,全年,17:00,17:30,0.0,0.5,1.0,0,6,"海边,约会圣地"
39,仙湖植物园,公园,22.583562,114.181318,全年,00:00,18:00,0.0,1.0,2.0,0,6,其它
40,广东梧桐山国家森林公园,公园,22.5838,114.221632,全年,06:00,19:00,0.0,2.5,3.0,0,6,其它
41,莲花山公园,公园,22.559257,114.065193,全年,06:30,23:00,0.0,1.0,2.0,0,6,其它
42,深圳观光巴士,游乐园/体育娱乐,22.527998,113.998652,全年,09:00,17:00,50.0,0.5,2.0,0,6,其它
43,较场尾,人文景观,22.596202,114.51552,全年,06:00,22:00,300.0,1.0,1.5,0,6,"海边,约会圣地"
45,南头古城,历史古迹,22.549163,113.927048,全年,00:00,24:00,0.0,0.5,1.0,0,6,古风写真
46,大芬油画村,人文景观,22.615801,114.142665,全年,09:30,17:30,0.0,2.5,4.0,1,6,其它
47,海上田园,自然风光,22.731941,113.777756,全年,09:00,21:00,49.9,2.5,3.0,0,6,"海边,约会圣地"
48,凤凰古村,文化旅游区,22.697435,113.845676,全年,00:00,24:00,0.0,3.0,4.0,0,6,古风写真
49,盐田海滨栈道,公园,22.558678,114.248517,全年,00:00,24:00,0.0,2.0,3.5,0,6,"海边,约会圣地"
