id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime
0,拙政园,园林,31.330247,120.63571,全年,07:30,17:30,80.0,1.5,3.0
1,寒山寺,历史古迹,31.316432,120.574955,全年,07:30,17:30,18.0,1.0,2.0
2,枫桥景区,文化旅游区,31.315726,120.573506,全年,07:30,17:30,0.0,1.5,2.0
3,周庄,历史古迹,31.121635,120.857425,全年,07:30,21:00,100.0,2.0,2.5
4,狮子林,园林,31.327124,120.63561,全年,07:30,17:30,40.0,0.5,1.0
5,虎丘山风景名胜区,自然风光,31.341612,120.587391,全年,07:30,18:00,70.0,2.0,3.0
6,留园,园林,31.321729,120.598973,全年,07:30,17:30,55.0,3.0,4.0
7,苏州博物馆,博物馆/纪念馆,31.329059,120.634317,全年,09:00,17:00,0.0,1.5,3.0
8,同里古镇,历史古迹,31.162629,120.727691,全年,08:00,17:15,80.0,2.0,3.0
9,山塘街,商业街区,31.32316,120.609569,全年,00:00,24:00,0.0,0.5,1.0
10,平江路历史街区,历史古迹,31.319908,120.641291,全年,00:00,24:00,0.0,1.5,3.0
11,金鸡湖,公园,31.317298,120.70789,全年,00:00,24:00,0.0,1.0,2.0
12,网师园,园林,31.304178,120.640219,全年,07:30,17:30,40.0,1.0,1.5
13,沧浪亭,历史古迹,31.300614,120.632073,全年,07:30,17:30,20.0,2.0,3.0
14,木渎古镇,历史古迹,31.257159,120.518618,全年,08:30,17:00,66.0,1.0,2.5
15,姑苏水上游,文化旅游区,31.29735,120.618024,全年,09:00,20:30,0.0,2.0,2.5
17,耦园,园林,31.32204,120.644781,全年,07:30,17:30,25.0,0.5,2.0
18,阳澄湖,自然风光,31.429952,120.794784,全年,00:00,24:00,0.0,2.5,4.0
19,华谊兄弟电影世界,游乐园/体育娱乐,31.380827,120.793334,全年,09:30,17:30,198.0,1.0,1.5
20,西园寺,人文景观,31.32109,120.593716,全年,08:00,17:00,0.0,1.0,2.5
21,甪直古镇,历史古迹,31.27476,120.879149,全年,08:30,17:00,44.0,2.0,2.5
22,阿尔卑斯雪世界,游乐园/体育娱乐,31.410269,121.152687,全年,10:00,20:00,188.0,1.5,3.0
23,太仓阿尔卑斯国际度假区,游乐园/体育娱乐,31.416498,121.157779,全年,00:00,24:00,0.0,2.0,2.5
24,天平山,自然风光,31.29208,120.507161,全年,08:00,17:00,30.0,2.0,3.0
25,盘门,历史古迹,31.294881,120.623312,全年,08:30,21:00,34.9,3.0,3.5
26,锦溪古镇,文化旅游区,31.180444,120.905834,全年,08:00,17:00,0.0,1.0,2.5
27,苏州博物馆西馆,博物馆/纪念馆,31.295519,120.555576,全年,09:00,17:00,0.0,2.0,3.0
28,苏州乐园森林世界,游乐园/体育娱乐,31.332008,120.482874,全年,09:15,17:15,218.0,1.0,2.0
29,同里国家湿地公园,公园,31.169571,120.826592,全年,08:30,18:00,0.0,2.5,4.0
30,观前街,商业街区,31.317383,120.633912,全年,00:00,24:00,0.0,2.0,3.0
31,沙家浜风景区,红色景点,31.555016,120.800568,全年,08:30,16:30,29.9,2.0,3.5
32,苏州古运河,人文景观,31.29807,120.617907,全年,00:00,24:00,0.0,3.0,3.5
33,西山,自然风光,31.121817,120.290734,全年,08:30,17:00,0.0,0.5,1.5
34,怡园,园林,31.313615,120.627738,全年,07:30,17:00,15.0,2.5,4.0
35,金鸡湖游船,游乐园/体育娱乐,31.321903,120.690975,全年,09:00,21:00,60.0,2.0,3.0
36,艺圃,园林,31.31923,120.615318,全年,07:30,17:30,10.0,2.5,4.0
37,可园,园林,31.301271,120.631732,全年,07:30,17:30,25.0,1.0,2.5
