id,Name,Type,Latitude,Longitude,dateDesc,OpenTime,EndTime,Price,RecommendMinTime,RecommendMaxTime
0,黄鹤楼,历史古迹,30.550317,114.309043,全年,08:30,18:00,65.0,0.5,1.5
1,晴川阁,历史古迹,30.561283,114.291314,全年,09:00,21:30,0.0,2.0,3.5
2,湖北省博物馆,博物馆/纪念馆,30.567827,114.371879,全年,09:00,17:00,0.0,2.0,3.0
3,武汉欢乐谷,游乐园/体育娱乐,30.597669,114.400799,全年,09:30,18:00,200.0,2.5,3.0
4,汉口江滩,公园,30.61254,114.322857,全年,00:00,24:00,0.0,0.5,1.0
5,武汉文旅集团·夜游长江,游乐园/体育娱乐,30.59431,114.314937,全年,18:00,22:00,68.0,0.5,1.5
6,东湖,公园,30.557869,114.420005,全年,00:00,24:00,0.0,1.0,2.0
7,知音号,游乐园/体育娱乐,30.602236,114.317824,全年,10:00,16:30,268.0,2.5,4.0
8,武汉大学,大学校园,30.544219,114.37213,全年,08:00,18:00,0.0,1.5,3.0
9,武汉极地海洋公园,游乐园/体育娱乐,30.670265,114.284434,全年,09:30,17:30,275.0,3.0,4.0
10,夜上黄鹤楼,人文景观,30.550317,114.309043,全年,19:30,22:00,120.0,2.5,3.0
11,户部巷,商业街区,30.552948,114.304701,全年,00:00,24:00,0.0,2.0,3.5
12,武汉动物园,游乐园/体育娱乐,30.549057,114.249694,全年,09:00,17:00,40.0,3.0,4.0
13,汉秀剧场,游乐园/体育娱乐,30.558093,114.354315,全年,00:00,24:00,229.0,1.0,2.5
14,武汉长江大桥,人文景观,30.55536,114.294997,全年,00:00,24:00,0.0,2.5,4.0
15,木兰天池,自然风光,31.183693,114.291544,全年,08:00,17:30,70.0,1.0,2.5
16,黄陂木兰文化生态旅游区,文化旅游区,30.964943,114.467793,全年,00:00,24:00,60.0,2.5,4.0
17,武汉园博园(武汉自然博物馆),博物馆/纪念馆,30.632221,114.222347,全年,00:00,24:00,39.9,0.5,2.0
18,古德寺,历史古迹,30.624232,114.314087,全年,08:30,16:30,0.0,1.5,2.0
19,江汉路步行街,商业街区,30.589044,114.29496,全年,00:00,24:00,0.0,3.0,4.0
20,木兰草原,自然风光,30.965586,114.46698,全年,00:00,24:00,65.0,2.0,3.5
21,东湖磨山景区,公园,30.554413,114.419725,全年,08:00,17:00,0.0,1.5,2.0
22,武汉植物园,公园,30.550553,114.429948,全年,08:00,17:00,33.0,0.5,1.0
23,武汉杜莎夫人蜡像馆,游乐园/体育娱乐,30.561264,114.350992,全年,10:00,21:30,120.0,2.5,4.0
24,辛亥革命武昌起义纪念馆,红色景点,30.547867,114.312911,全年,09:00,17:00,0.0,2.0,3.0
25,武汉文旅集团·粤汉码头(夜游长江),游乐园/体育娱乐,30.595146,114.313251,全年,18:00,22:00,0.0,2.5,3.0
26,长江荣耀游船,游乐园/体育娱乐,30.586263,114.307447,全年,18:00,21:00,0.0,1.0,2.0
27,昙华林,人文景观,30.557494,114.315583,全年,00:00,24:00,0.0,2.0,3.0
28,东湖落雁景区,公园,30.565409,114.442959,全年,08:00,18:00,13.0,1.5,2.0
29,武汉文旅集团·汉阳门码头(夜游长江),游乐园/体育娱乐,30.55441,114.300515,全年,18:00,22:00,0.0,2.5,3.0
30,武汉东湖海洋世界,游乐园/体育娱乐,30.580274,114.386173,全年,09:00,17:00,120.0,2.0,3.0
31,船长9号游船(夜游长江),游乐园/体育娱乐,30.586313,114.30751,全年,18:40,19:30,50.0,1.0,2.5
32,武汉旅游观光巴士,游乐园/体育娱乐,30.582505,114.304095,全年,10:00,16:30,28.0,2.5,3.0
33,东湖游船,游乐园/体育娱乐,30.583238,114.384641,全年,09:00,17:30,38.0,2.0,2.5
34,东湖之眼摩天轮,游乐园/体育娱乐,30.554705,114.413494,全年,09:30,20:00,30.0,1.0,2.0
35,黎黄陂路,人文景观,30.592208,114.308147,全年,00:00,24:00,0.0,3.0,4.0
36,东湖磨山索道,游乐园/体育娱乐,30.558362,114.413822,全年,08:30,17:00,28.0,1.5,3.0
37,楚河汉街,商业街区,30.563694,114.345997,全年,00:00,24:00,0.0,1.0,2.5
38,zoolungzoolung动物主题公园(东湖店),游乐园/体育娱乐,30.579662,114.387185,全年,09:00,17:00,92.0,1.5,2.0
39,东湖沙滩景区,公园,30.574451,114.399086,全年,10:00,21:00,0.0,2.5,4.0
40,九峰国家森林公园,自然风光,30.509959,114.503336,全年,00:00,24:00,0.0,2.0,3.0
41,九峰森林动物园,游乐园/体育娱乐,30.514177,114.498169,全年,09:00,17:00,55.0,1.0,2.5
42,WS热雪奇迹,游乐园/体育娱乐,30.535219,114.347068,全年,00:00,24:00,198.0,1.0,2.0
43,武汉博物馆,博物馆/纪念馆,30.617712,114.263071,全年,09:00,17:00,0.0,0.5,2.0
44,武汉野生动物王国,游乐园/体育娱乐,30.56542,113.95235,全年,09:00,17:00,87.0,2.0,2.5
45,木兰花乡景区(木兰不夜城),游乐园/体育娱乐,31.243822,114.394268,全年,10:00,21:00,69.0,0.5,1.0
46,辛亥革命博物馆,博物馆/纪念馆,30.543081,114.312696,全年,09:00,17:00,0.0,1.0,2.0
47,归元禅寺,历史古迹,30.551541,114.265568,全年,08:00,17:00,0.0,1.0,2.0
48,湖北美术馆,美术馆/艺术馆,30.570278,114.371888,全年,09:00,17:00,0.0,2.0,2.5
49,WS梦乐园,游乐园/体育娱乐,30.534047,114.348747,全年,10:30,21:00,220.0,1.5,2.0
50,江汉关博物馆,博物馆/纪念馆,30.581848,114.304054,全年,09:00,17:00,0.0,3.0,3.5
51,武昌江滩,公园,30.564553,114.308665,全年,00:00,24:00,0.0,2.5,3.0
52,武汉观光游船,游乐园/体育娱乐,30.560861,114.290872,全年,10:30,17:50,0.0,0.5,1.5
53,武汉美术馆(汉口馆),美术馆/艺术馆,30.58978,114.299543,全年,09:00,17:00,0.0,1.0,2.0
54,珞喻路光谷广场,商业街区,30.511927,114.405599,全年,08:00,20:10,0.0,0.5,1.0
55,花博汇(知音花月夜),游乐园/体育娱乐,30.493608,114.083635,全年,09:30,22:00,60.0,1.0,2.0
56,吉庆民俗街,商业街区,30.591314,114.300269,全年,00:00,24:00,0.0,1.0,2.5
57,汉口里,历史古迹,30.626123,114.231374,全年,00:00,24:00,0.0,1.0,1.5
58,木兰云雾山,自然风光,31.122429,114.223402,全年,08:00,17:00,65.0,2.0,2.5
59,武汉东湖飞鸟世界,游乐园/体育娱乐,30.579872,114.386876,全年,09:00,17:00,92.0,2.0,3.5
60,东湖绿道观光车,公园,30.583997,114.384239,全年,09:00,17:00,0.0,0.5,1.0
61,世界城光谷步行街,商业街区,30.511249,114.410434,全年,10:00,22:30,0.0,0.5,1.5
62,2024东风岚图·武汉网球公开赛,游乐园/体育娱乐,30.479247,114.468053,全年,00:00,24:00,0.0,2.0,2.5
63,毛泽东同志旧居,红色景点,30.556689,114.305816,全年,09:00,16:30,0.0,1.0,2.0
64,九真山风景区,自然风光,30.479397,113.961097,全年,08:00,17:30,0.0,1.5,3.0
65,木兰山,自然风光,31.108363,114.399535,全年,00:00,24:00,0.0,2.0,3.0
66,武汉关码头,人文景观,30.580591,114.304309,全年,06:00,24:00,0.0,1.0,1.5
67,东湖海洋乐园东湖大马戏,游乐园/体育娱乐,30.580235,114.382065,全年,00:00,24:00,45.0,2.0,3.0
68,武汉科技馆,博物馆/纪念馆,30.584887,114.306519,全年,00:00,24:00,0.0,2.5,3.0
69,中山公园,公园,30.592619,114.278054,全年,06:30,21:30,0.0,2.0,2.5
70,木兰清凉寨,自然风光,31.301474,114.223129,全年,08:00,17:30,58.0,1.0,1.5
71,东湖听涛景区,公园,30.573998,114.381692,全年,09:00,22:00,0.0,1.0,2.0
72,巴公房子,历史古迹,30.592026,114.306626,全年,00:00,24:00,0.0,0.5,1.5
73,海底两万里,游乐园/体育娱乐,30.668458,114.285022,全年,09:30,17:00,0.0,2.0,3.5
74,百年轮渡·君旅号游船(来源记忆),游乐园/体育娱乐,30.559779,114.30437,全年,18:00,22:00,0.0,0.5,1.5
75,鹦鹉洲长江大桥,其它,30.532049,114.298159,全年,00:00,24:00,0.0,3.0,3.5
76,东湖海洋乐园,游乐园/体育娱乐,30.580176,114.384888,全年,09:00,17:00,0.0,1.0,2.0
77,湖北省科学技术馆,博物馆/纪念馆,30.496977,114.51216,全年,00:00,24:00,0.0,3.0,3.5
78,武汉革命博物馆,博物馆/纪念馆,30.559331,114.307,全年,09:00,17:00,0.0,0.5,1.5
79,宝通禅寺,历史古迹,30.538026,114.347202,全年,07:00,16:00,0.0,0.5,1.5
80,东湖海洋乐园欢乐水世界,游乐园/体育娱乐,30.580761,114.387345,全年,13:30,20:30,0.0,3.0,4.0
81,长春观,历史古迹,30.546129,114.327304,全年,00:00,16:30,0.0,2.0,3.0
82,东湖绿道,公园,30.560913,114.448108,全年,00:00,24:00,0.0,0.5,1.5
83,武汉悬空玻璃艺术馆,美术馆/艺术馆,30.588039,114.296574,全年,10:00,22:00,29.9,1.0,1.5
84,武汉文旅集团·苗家码头/武汉关2号码头(夜游长江),游乐园/体育娱乐,30.581284,114.304381,全年,18:00,22:00,0.0,2.0,3.0
85,梵高星空艺术馆(武汉旗舰店),美术馆/艺术馆,30.592696,114.231382,全年,09:30,18:30,39.9,2.0,3.5
86,龟山风景区,自然风光,30.560653,114.274523,全年,07:00,19:00,0.0,0.5,1.5
87,武汉国际博览中心,商业街区,30.513182,114.248387,全年,09:00,17:00,0.0,1.5,3.0
88,武汉体育中心,游乐园/体育娱乐,30.507047,114.178504,全年,08:30,18:00,0.0,2.0,3.0
89,昙华林历史文化街区,商业街区,30.553909,114.311927,全年,09:00,19:00,0.0,2.0,3.5
90,锦里沟,人文景观,31.278891,114.233114,全年,08:00,17:00,60.0,0.5,1.0
91,盘龙城国家考古遗址公园,历史古迹,30.700211,114.275858,全年,09:00,17:00,0.0,2.5,4.0
92,大余湾,文化旅游区,31.032703,114.378543,全年,08:00,17:30,49.9,1.0,2.0
93,武汉中华奇石馆,博物馆/纪念馆,30.551099,114.268369,全年,09:00,16:00,0.0,0.5,1.5
94,中国建筑科技馆,博物馆/纪念馆,30.496924,114.524415,全年,09:00,17:00,0.0,0.5,1.0
95,平和打包厂旧址,历史古迹,30.58793,114.304258,全年,00:00,24:00,0.0,0.5,1.5
96,汉阳造艺术区,美术馆/艺术馆,30.561859,114.274014,全年,00:00,24:00,0.0,1.0,2.5
97,东湖楚风园,公园,30.584139,114.384212,全年,00:00,24:00,38.0,1.0,1.5
98,磨山滑道,游乐园/体育娱乐,30.55609,114.422771,全年,09:30,16:30,0.0,3.0,3.5
99,光谷国际网球中心,游乐园/体育娱乐,30.479247,114.468053,全年,07:00,22:00,0.0,0.5,1.0
100,紫薇都市田园,游乐园/体育娱乐,30.820796,114.618851,全年,08:00,17:30,60.0,1.5,3.0
101,武汉观光游船(晴川码头),游乐园/体育娱乐,30.560934,114.292243,全年,00:00,24:00,0.0,0.5,2.0
102,武汉天地,商业街区,30.613146,114.317846,全年,10:00,22:00,0.0,1.5,3.0
103,梁子湖龙湾半岛景区,公园,30.248296,114.465345,全年,08:30,20:00,0.0,1.0,2.0
104,梁子湖风景区,自然风光,30.246303,114.527029,全年,09:00,17:00,0.0,1.0,2.0
105,中共五大会址纪念馆,红色景点,30.556445,114.305362,全年,00:00,16:30,0.0,0.5,1.0
106,凤娃古寨旅游风景区,文化旅游区,30.916737,114.76084,全年,08:00,17:30,50.0,0.5,1.5
107,意大利风情街,商业街区,30.508259,114.413677,全年,00:00,24:00,0.0,2.0,3.5
108,解放公园,公园,30.613553,114.305086,全年,00:00,22:00,0.0,0.5,2.0
109,咸安坊,历史古迹,30.588406,114.302499,全年,00:00,24:00,0.0,1.5,2.0
110,桥梁博物馆,博物馆/纪念馆,30.521872,114.23449,全年,14:00,17:00,0.0,2.0,2.5
111,东湖之森·飞越丛林探险乐园,游乐园/体育娱乐,30.551692,114.414223,全年,09:00,18:00,95.0,0.5,1.5
112,东湖智能游船,游乐园/体育娱乐,30.584145,114.385069,全年,08:00,18:00,0.0,2.0,2.5
113,马鞍山森林公园,公园,30.525408,114.455457,全年,00:00,17:00,0.0,2.5,4.0
114,武汉观光游船(中华路1号码头),游乐园/体育娱乐,30.556263,114.301631,全年,10:30,16:50,0.0,2.0,3.0
