,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,436915,北京天安门王府井漫心酒店,Beijing Tiananmenwangfujing Manxin Hotel,机器人服务,1,北京,Beijing,东城区,天安门/王府井地区 东安门大街53号,"{'type': 2, 'latitude': '39.915718', 'longitude': '116.408128'}",4.8,5515,https://dimg04.c-ctrip.com/images/200k1a0000018f4s830FB_C_400_600_R5_Q70.jpg_.webp,近故宫博物院 · 天安门/王府井,"[{'type': '地铁', 'info': '距金鱼胡同地铁站-出入口步行240米,约4分钟'}]",689,雅致大床房(无窗)
1,375265,北京京都信苑饭店,Beijing Xinyuan Hotel,泳池,1,北京,Beijing,海淀区,北京西站/丽泽商务区 什坊院6号莲花桥畔,"{'type': 2, 'latitude': '39.898089', 'longitude': '116.31215'}",4.7,3508,https://dimg04.c-ctrip.com/images/1mc7112000du63gc21909_C_400_600_R5_Q70.jpg_.webp,近北京西站 · 北京西站/丽泽商务区,"[{'type': '地铁', 'info': '距莲花桥地铁站-B口步行180米,约3分钟'}]",637,特惠景观双床房
2,106588140,北京北投台湖演艺酒店,Beijing Beitou Taihu Performing Arts Hotel,免费停车,1,北京,Beijing,通州区,环球影城度假区及周边 胡家垡村甲9号,"{'type': 2, 'latitude': '39.830898', 'longitude': '116.62203'}",4.8,1311,https://dimg04.c-ctrip.com/images/1mc6412000b9vm7c9C234_C_400_600_R5_Q70.jpg_.webp,近国家大剧院台湖舞美艺术中心 · 环球影城及周边,"[{'type': '地铁', 'info': '距万盛西地铁站-D口驾车5.2公里,约10分钟'}]",740,标准双床房
3,35927532,桔子水晶北京王府井大街酒店,Crystal Orange Beijing Wangfujing Street Hotel,机器人服务,1,北京,Beijing,东城区,天安门/王府井地区 东安门大街18号,"{'type': 2, 'latitude': '39.91525', 'longitude': '116.410422'}",4.7,7539,https://dimg04.c-ctrip.com/images/200s14000000wdpczE676_C_400_600_R5_Q70.jpg_.webp,近故宫博物院 · 天安门/王府井,"[{'type': '地铁', 'info': '距金鱼胡同地铁站-出入口步行110米,约2分钟'}]",679,大床房
4,6410223,赛特饭店,Scitech Hotel,泳池,1,北京,Beijing,朝阳区,国贸地区 建国门外大街22号,"{'type': 2, 'latitude': '39.906667', 'longitude': '116.441675'}",4.4,1180,https://dimg04.c-ctrip.com/images/1mc1l12000e7x8ztdD920_C_400_600_R5_Q70.jpg_.webp,近北京站 · 国贸CBD,"[{'type': '地铁', 'info': '距建国门地铁站步行630米,约9分钟'}]",678,标准大床间
5,114502121,嘉年华酒店(北京亦庄经济开发区店),Carnival Hotel (Beijing Yizhuang Economic Development Zone),亲子主题房,1,北京,Beijing,大兴区,亦庄地区 荣华街道经海二路15号1幢,"{'type': 2, 'latitude': '39.807812', 'longitude': '116.52796'}",4.8,1284,https://dimg04.c-ctrip.com/images/1mc0r12000cva2tr060D8_C_400_600_R5_Q70.jpg_.webp,近贞观国际 · 亦庄,"[{'type': '地铁', 'info': '距经海一路(京东方)地铁站驾车2.5公里,约6分钟'}]",335,高级大床房（小冰箱，空气净化器）
6,67485723,北京大兴国际机场木棉花酒店,Mumian Beijing Daxing International Airport,泳池,1,北京,Beijing,大兴区,大兴北京新机场地区 北京大兴国际机场综合服务楼一层苑景路2号A1008号,"{'type': 2, 'latitude': '39.516491', 'longitude': '116.415634'}",4.9,7030,https://dimg04.c-ctrip.com/images/0201t120008sxxr2u97C5_C_400_600_R5_Q70.jpg_.webp,近北京大兴国际机场 · 大兴机场,"[{'type': '火车站', 'info': '距大兴机场站步行730米,约11分钟'}]",729,标准大床房
7,5293705,北京龙熙维景国际会议中心,Grand Metropark Longxi Conference Center Beijing,温泉,1,北京,Beijing,大兴区,大兴北京新机场地区 隆华大街55号院7号楼,"{'type': 2, 'latitude': '39.624784', 'longitude': '116.302285'}",4.6,921,https://dimg04.c-ctrip.com/images/20040m000000dak2mBBE2_C_400_600_R5_Q70.jpg_.webp,大兴机场,"[{'type': '地铁', 'info': '距天宫院地铁站-C口驾车7.5公里,约18分钟'}]",639,商务双床房
8,608516,北京三元桥CitiGO欢阁酒店,CitiGO Hotel Sanyuanqiao Beijing,机器人服务,1,北京,Beijing,朝阳区,国展中心地区 曙光西里甲5号17座,"{'type': 2, 'latitude': '39.961257', 'longitude': '116.454867'}",4.7,6158,https://dimg04.c-ctrip.com/images/1mc3y12000c2ukniw8AAB_C_400_600_R5_Q70.jpg_.webp,近三元桥地铁站 · 国展中心,"[{'type': '地铁', 'info': '距三元桥地铁站-D口步行220米,约4分钟'}]",595,欢逸大床房
9,71677780,桔子水晶北京国贸合生汇酒店,Crystal Orange Beijing Internatio管家服务nal Trade Heshenghui Hotel,机器人服务,1,北京,Beijing,朝阳区,国贸地区 西大望路15号外企大厦D座,"{'type': 2, 'latitude': '39.894652', 'longitude': '116.47704'}",4.8,2717,https://dimg04.c-ctrip.com/images/0200t120008hchzct98CA_C_400_600_R5_Q70.jpg_.webp,近九龙山地铁站 · 国贸CBD,"[{'type': '地铁', 'info': '距九龙山地铁站步行<100米,约1分钟'}]",523,大床房（智能客控）
10,430223,北京德胜门华宇假日酒店,Holiday Inn Beijing Deshengmen,健身室,1,北京,Beijing,西城区,马甸/安贞地区 德胜门外大街71号,"{'type': 2, 'latitude': '39.957588', 'longitude': '116.378635'}",4.6,2043,https://dimg04.c-ctrip.com/images/20031f000001gp7c76F2F_C_400_600_R5_Q70.jpg_.webp,近北京师范大学 · 马甸/安贞,"[{'type': '地铁', 'info': '距积水潭地铁站-B2口步行1.3公里,约19分钟'}]",718,高级间
11,375098,北京中航泊悦酒店,Boyue Beijing Hotel,桑拿,1,北京,Beijing,朝阳区,燕莎/朝阳公园商业区 霄云路36号 (第三大使馆),"{'type': 2, 'latitude': '39.95719', 'longitude': '116.463577'}",4.6,1912,https://dimg04.c-ctrip.com/images/1mc0n12000c18pq8xBA9D_C_400_600_R5_Q70.jpg_.webp,近国航大厦 · 燕莎/朝阳公园,"[{'type': '地铁', 'info': '距亮马桥地铁站-A口步行1.1公里,约16分钟'}]",688,特惠大床房
12,54695937,北京三元桥亚朵X酒店,Beijing Sanyuanqiao Atour X Hotel,免费停车,1,北京,Beijing,朝阳区,燕莎/朝阳公园商业区 新源街6号,"{'type': 2, 'latitude': '39.953753', 'longitude': '116.451347'}",4.8,4042,https://dimg04.c-ctrip.com/images/1mc6w12000bilgy2kD669_C_400_600_R5_Q70.jpg_.webp,近三里屯 · 燕莎/朝阳公园,"[{'type': '地铁', 'info': '距左家庄地铁站-B口步行970米,约14分钟'}]",728,高级大床房（小度智能+电视投屏）
13,61134552,北京天坛漫心酒店,Beijing Tiantan Manxin Hotel,免费停车,1,北京,Beijing,东城区,前门/天坛公园/崇文门 天坛东路76-1号,"{'type': 2, 'latitude': '39.876257', 'longitude': '116.421599'}",4.8,3124,https://dimg04.c-ctrip.com/images/200h1g000001h2xga3C53_C_400_600_R5_Q70.jpg_.webp,近天坛 · 前门/天坛公园/崇文门,"[{'type': '地铁', 'info': '距天坛东门地铁站-C口步行590米,约9分钟'}]",628,心怡大床房
14,426976,北京广安门维景国际大酒店,Guanganmen Grand Metropark Hotel Beijing,免费停车,1,北京,Beijing,西城区,北京西站/丽泽商务区 广安门内大街338号,"{'type': 2, 'latitude': '39.888884', 'longitude': '116.354755'}",4.8,4475,https://dimg04.c-ctrip.com/images/020531200084xp7z3CD78_C_400_600_R5_Q70.jpg_.webp,近广安门内地铁站 · 北京西站/丽泽商务区,"[{'type': '地铁', 'info': '距广安门内地铁站-C口步行360米,约6分钟'}]",730,维景高级间
