,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,7882346,都江堰檩然温泉度假酒店(熊猫谷店),Linran Spring Holiday Hotel near The PandaVally,桑拿,94,都江堰,Dujiangyan,,融创乐园/熊猫谷 玉堂镇玉府路131号,"{'type': 2, 'latitude': '30.973147', 'longitude': '103.607915'}",4.6,754,https://dimg04.c-ctrip.com/images/0201h120009jr3kcaB828_C_400_600_R5_Q70.jpg_.webp,都江堰 · 近都江堰景区 · 融创/熊猫谷,"[{'type': '火车站', 'info': '距离堆公园站驾车4公里,约10分钟'}]",438,豪华双床房
1,51688812,成都东方美豪丽致酒店,Chengdu Oriental Mehood Lestie Hotel,管家服务,28,成都,Chengdu,武侯区,红牌楼/大悦城商业区 武科西四路128号西部智谷C区,"{'type': 2, 'latitude': '30.629545', 'longitude': '103.974556'}",4.6,1455,https://dimg04.c-ctrip.com/images/0205v120008ralq3cFCA6_C_400_600_R5_Q70.jpg_.webp,近京东西南总部大厦 · 红牌楼/大悦城,"[{'type': '地铁', 'info': '距武青南路地铁站步行1.6公里,约24分钟'}]",399,丽致园景双床房
2,468322,索菲斯锦苑宾馆(成都春熙路文殊院店),Sofis Jinyuan Hotel,管家服务,28,成都,Chengdu,青羊区,文殊院/龙湖上城天街 人民中路三段22号,"{'type': 2, 'latitude': '30.67709', 'longitude': '104.071223'}",4.8,5810,https://dimg04.c-ctrip.com/images/1mc3612000ard26nd962F_C_400_600_R5_Q70.jpg_.webp,近天府广场 · 文殊院/龙湖上城天街,"[{'type': '地铁', 'info': '距文殊院地铁站-K口步行420米,约6分钟'}]",416,嘉宾高级双床房
3,435194,成都城市名人酒店,Celebrity City Hotel,桑拿,28,成都,Chengdu,青羊区,天府广场/成都博物馆 人民南路一段122-124号,"{'type': 2, 'latitude': '30.654071', 'longitude': '104.06535'}",4.7,5775,https://dimg04.c-ctrip.com/images/200c1a000001901vm01D9_C_400_600_R5_Q70.jpg_.webp,近春熙路 · 天府广场/成都博物馆,"[{'type': '地铁', 'info': '距天府广场地铁站-西1口步行450米,约7分钟'}]",353,精致双床房
4,113071431,成都悠泊豪生荟酒店,Howard Johnson Upark Business Club Chengdu,家庭房,28,成都,Chengdu,武侯区,红牌楼/大悦城商业区 金履二路1号,"{'type': 2, 'latitude': '30.6042', 'longitude': '103.988209'}",4.6,567,https://dimg04.c-ctrip.com/images/1mc4e12000dpq8725515F_C_400_600_R5_Q70.jpg_.webp,近簇桥地铁站 · 红牌楼/大悦城,"[{'type': '地铁', 'info': '距簇桥地铁站-D1口步行410米,约6分钟'}]",408,特惠房
5,85252195,美豪丽致酒店成都天府新区环球中心会展店,"Meiholi Zhi Hotel (Huayang Branch, Tianfu New District)",桑拿,28,成都,Chengdu,双流区,华阳/海昌极地海洋公园 华阳街道滨河路二段698号,"{'type': 2, 'latitude': '30.520868', 'longitude': '104.05269'}",4.8,1971,https://dimg04.c-ctrip.com/images/0202j12000993wkoe33C6_C_400_600_R5_Q70.jpg_.webp,近骑龙地铁站 · 华阳/海洋公园,"[{'type': '地铁', 'info': '距骑龙地铁站-B口步行1.3公里,约19分钟'}]",349,丽致双床房（带私人阳台+小冰箱+智能马桶）
6,432140,成都丽呈明宇丽雅饭店(春熙太古里店),Lia! By Minyoun Chengdu Rezen Hotel (Chunxi Taikoo Li Store),SPA,28,成都,Chengdu,锦江区,天府广场/成都博物馆 宾隆街29号,"{'type': 2, 'latitude': '30.657361', 'longitude': '104.069198'}",4.6,3824,https://dimg04.c-ctrip.com/images/0203m120008qoo7ev62BE_C_400_600_R5_Q70.jpg_.webp,近春熙路 · 天府广场/成都博物馆,"[{'type': '地铁', 'info': '距天府广场地铁站-D口步行410米,约6分钟'}]",481,轻居大床房
7,82330393,雅悦蓝天酒店,Elegant Azure Hotel,管家服务,28,成都,Chengdu,成华区,成都火车东站/塔子山公园 白龙江路6号,"{'type': 2, 'latitude': '30.631369', 'longitude': '104.144984'}",4.5,2008,https://dimg04.c-ctrip.com/images/0204g1200094jf63hFCB5_C_400_600_R5_Q70.jpg_.webp,近成都东站 · 成都火车东站商圈,"[{'type': '火车站', 'info': '距成都东站步行840米,约12分钟'}]",367,高级大床房
8,435698,成都帝盛酒店(春熙路文殊院店),Dorsett Chengdu,行政酒廊,28,成都,Chengdu,青羊区,文殊院/龙湖上城天街 西玉龙街168号,"{'type': 2, 'latitude': '30.667408', 'longitude': '104.067398'}",4.7,3568,https://dimg04.c-ctrip.com/images/200c15000000yqw9a26A3_C_400_600_R5_Q70.jpg_.webp,近宽窄巷子 · 文殊院/龙湖上城天街,"[{'type': '地铁', 'info': '距骡马市地铁站步行200米,约3分钟'}]",398,帝盛双床房
9,36185934,成都璞悦天府酒店,Projoy Hotel Tianfu,泳池,28,成都,Chengdu,双流区,环球中心海洋乐园/世纪城新会展 华府大道1段1号,"{'type': 2, 'latitude': '30.525961', 'longitude': '104.068655'}",4.8,1710,https://dimg04.c-ctrip.com/images/1mc0c12000c1xx9fgC396_C_400_600_R5_Q70.jpg_.webp,近成都远大购物中心 · 海洋乐园/世纪城新会展,"[{'type': '地铁', 'info': '距华府大道地铁站-A口步行<100米,约1分钟'}]",499,高级双床房
10,102614013,青城山逸扉温泉度假酒店,Qingchengshan Yixuan Hot Spring Resort,山景房,94,都江堰,Dujiangyan,,青城山前山景区及周边 青城山镇兴景路88号21栋,"{'type': 2, 'latitude': '30.893518', 'longitude': '103.601814'}",4.7,682,https://dimg04.c-ctrip.com/images/1mc2s12000ag5lbw6C8A3_C_400_600_R5_Q70.jpg_.webp,都江堰 · 近青城山站 · 前山及周边,"[{'type': '火车站', 'info': '距青城山站步行510米,约8分钟'}]",614,【智控】高级大床房（胶囊Coffee机）
11,393108,成都凯宾斯基饭店,Kempinski Hotel Chengdu,SPA,28,成都,Chengdu,武侯区,玉林生活广场/桐梓林商业区 人民南路4段42号,"{'type': 2, 'latitude': '30.618637', 'longitude': '104.066265'}",4.6,5746,https://dimg04.c-ctrip.com/images/0200s120008l4yzke11B9_C_400_600_R5_Q70.jpg_.webp,近成都南站 · 玉林商圈,"[{'type': '地铁', 'info': '距桐梓林地铁站-B口步行410米,约6分钟'}]",602,经典超大床房
12,101935909,成都宽窄人民公园地铁站亚朵S酒店,Chengdu Kuanzhai People's Park Subway Station Atour S Hotel,管家服务,28,成都,Chengdu,青羊区,宽窄巷子/中医学院附近地区 蜀都大道少城路33号,"{'type': 2, 'latitude': '30.65955', 'longitude': '104.057812'}",4.8,1612,https://dimg04.c-ctrip.com/images/0205e12000a68nhht1793_C_400_600_R5_Q70.jpg_.webp,近天府广场 · 宽窄巷子商圈,"[{'type': '地铁', 'info': '距人民公园地铁站-D1口步行210米,约3分钟'}]",508,高级大床房
13,850077,成都雅居乐豪生大酒店,Howard Johnson Agile Plaza Chengdu,桑拿,28,成都,Chengdu,双流区,天府新区/西博城地区 天府新区麓山大道二段19号,"{'type': 2, 'latitude': '30.490282', 'longitude': '104.136449'}",4.8,1352,https://dimg04.c-ctrip.com/images/0204c120000wnw66a9BAB_C_400_600_R5_Q70.jpg_.webp,天府新区/西博城地区,"[{'type': '地铁', 'info': '距万安地铁站驾车4.8公里,约10分钟'}]",468,豪华双床房
14,89111536,成都恒邦天府喜来登酒店,Sheraton Chengdu Pidu,桑拿,28,成都,Chengdu,郫都区,郫县地区 德源街道花石西街560号,"{'type': 2, 'latitude': '30.788063', 'longitude': '103.857226'}",4.9,1463,https://dimg04.c-ctrip.com/images/1mc0g12000dwkfyvbE5FA_C_400_600_R5_Q70.jpg_.webp,近成都科幻馆 · 郫县商圈,"[{'type': '地铁', 'info': '距大禹东路地铁站-出入口步行680米,约10分钟'}]",588,豪华市景双床房
15,45075265,瓦当瓦舍酒店(成都金融环球中心店),Traveling With Hotel (Chengdu Financial Global Center),智能客控,28,成都,Chengdu,武侯区,金融城/双子塔附近地区 高新区府城大道西段399号天府新谷南门10号楼一楼大厅,"{'type': 2, 'latitude': '30.585958', 'longitude': '104.056659'}",4.5,470,https://dimg04.c-ctrip.com/images/0200f120009jxqui566B0_C_400_600_R5_Q70.jpg_.webp,近仁和新城购物中心(高新店) · 金融城/双子塔,"[{'type': '地铁', 'info': '距市一医院地铁站-C1口步行760米,约11分钟'}]",288,和风·别致大床房（静逸+新风+舒适安逸）
16,511413,成都友豪锦江酒店,Youhao Jinjiang Hotel,管家服务,28,成都,Chengdu,武侯区,红牌楼/大悦城商业区 武科东二路2号,"{'type': 2, 'latitude': '30.633102', 'longitude': '103.994523'}",4.8,1605,https://dimg04.c-ctrip.com/images/0220l1200084am5c669D7_C_400_600_R5_Q70.jpg_.webp,近成都大悦城 · 红牌楼/大悦城,"[{'type': '地铁', 'info': '距武侯立交地铁站-D2口步行1公里,约15分钟'}]",399,豪华标间
17,4496844,成都祥宇宾馆,Xiangyu Hotel,免费停车,28,成都,Chengdu,武侯区,九眼桥/四川大学附近地区 新南路103号,"{'type': 2, 'latitude': '30.636985', 'longitude': '104.076656'}",4.8,574,https://dimg04.c-ctrip.com/images/200c1e000001fndda0494_C_400_600_R5_Q70.jpg_.webp,近四川大学(望江校区) · 九眼桥商圈,"[{'type': '地铁', 'info': '距磨子桥地铁站-A口步行120米,约2分钟'}]",424,标准间（双床）
18,443847,成都新华宾馆,Chengdu Xinhua Hotel,山景房,28,成都,Chengdu,青羊区,文殊院/龙湖上城天街 新华大道江汉路29号,"{'type': 2, 'latitude': '30.674357', 'longitude': '104.065188'}",4.7,800,https://dimg04.c-ctrip.com/images/020331200085x2lsv8B44_C_400_600_R5_Q70.jpg_.webp,近宽窄巷子 · 文殊院/龙湖上城天街,"[{'type': '地铁', 'info': '距文殊院地铁站-B口步行360米,约5分钟'}]",399,标准间（双床）
19,4685761,成都新希望高新中心假日酒店,Holiday Inn Chengdu High-Tech Center,茶室,28,成都,Chengdu,郫都区,高新西区/茶店子客运站 西芯大道1号附1号,"{'type': 2, 'latitude': '30.728004', 'longitude': '103.973285'}",4.8,549,https://dimg04.c-ctrip.com/images/20041700000119oz1790F_C_400_600_R5_Q70.jpg_.webp,近百草路地铁站 · 高新西区/茶店子客运站,"[{'type': '地铁', 'info': '距百草路地铁站-A口步行1公里,约16分钟'}]",437,高级房
20,78215380,成都双流机场杰恩酒店(奥特莱斯店),Gene Hotel,免费停车,28,成都,Chengdu,双流区,海滨城/双流体育中心 双流双楠大道中段188号,"{'type': 2, 'latitude': '30.60387', 'longitude': '103.939776'}",4.8,2226,https://dimg04.c-ctrip.com/images/0203t12000aphkplx98A7_C_400_600_R5_Q70.jpg_.webp,近时代奥特莱斯 · 海滨城/体育中心,"[{'type': '地铁', 'info': '距龙桥路地铁站-F口步行260米,约4分钟'}]",301,杰恩高级大床房
21,375515,成都东方广场假日酒店 (春熙路太古里店),Holiday Inn Chengdu Oriental Plaza,泳池,28,成都,Chengdu,锦江区,春熙路/太古里商业区 东大街芷泉段231号,"{'type': 2, 'latitude': '30.647978', 'longitude': '104.088831'}",4.7,1660,https://dimg04.c-ctrip.com/images/0204s120009e2t59q2DB0_C_400_600_R5_Q70.jpg_.webp,近成都太古里 · 春熙路/太古里,"[{'type': '地铁', 'info': '距东门大桥地铁站-C口步行<100米,约1分钟'}]",598,假日高级双床房
22,533147,成都雅诗阁来福士,Ascott Raffles City Chengdu,泳池,28,成都,Chengdu,武侯区,华西医院/省体育馆商业区 人民南路四段3号,"{'type': 2, 'latitude': '30.631362', 'longitude': '104.067403'}",4.6,1121,https://dimg04.c-ctrip.com/images/0220x120008fc8jsk0B7E_C_400_600_R5_Q70.jpg_.webp,近成都来福士广场 · 华西医院商圈,"[{'type': '地铁', 'info': '距省体育馆地铁站-2口步行200米,约3分钟'}]",539,豪华单房双床
23,375517,成都新东方千禧大酒店,Millennium Hotel Chengdu,SPA,28,成都,Chengdu,武侯区,玉林生活广场/桐梓林商业区 高新区神仙树南路41号,"{'type': 2, 'latitude': '30.613025', 'longitude': '104.0491'}",4.7,1352,https://dimg04.c-ctrip.com/images/1mc1x12000af74j8s075B_C_400_600_R5_Q70.jpg_.webp,近神仙树地铁站 · 玉林商圈,"[{'type': '地铁', 'info': '距神仙树地铁站-F口步行450米,约7分钟'}]",499,高级大床房
24,92094399,成都缦道大酒店(金牛万达店),Chengdu Mandao Hotel (Jinniu Wanda Branch),管家服务,28,成都,Chengdu,金牛区,金牛万达/成都动物园 北站西一巷366号,"{'type': 2, 'latitude': '30.692287', 'longitude': '104.067944'}",4.7,269,https://dimg04.c-ctrip.com/images/1mc6h12000eoh0a0o99B0_C_400_600_R5_Q70.jpg_.webp,近荷花池 · 金牛万达/成都动物园,"[{'type': '地铁', 'info': '距北站西二路地铁站-f口步行220米,约4分钟'}]",458,商务大床房
26,91992827,成都澄舍酒店(温江大学城西南财大店),Chengdu Chengshe Hotel (Wenjiang University Town Southwest Caida Branch),免费停车,28,成都,Chengdu,温江区,国色天乡乐园/温江大学城 柳城南熏大道三段702号,"{'type': 2, 'latitude': '30.684472', 'longitude': '103.825315'}",4.8,432,https://dimg04.c-ctrip.com/images/1mc7112000bodf8eoAC29_C_400_600_R5_Q70.jpg_.webp,近西南财经大学(柳林校区) · 国色天乡乐园/温江大学城,"[{'type': '地铁', 'info': '距杨柳河地铁站-C口步行650米,约10分钟'}]",397,若拙高级大床房（丝涟床垫）
27,92606620,成都雅诗阁秦皇服务公寓,Ascott Qinhuang Chengdu,泳池,28,成都,Chengdu,双流区,天府新区/西博城地区 隆祥街2333号,"{'type': 2, 'latitude': '30.428544', 'longitude': '104.086043'}",4.7,1268,https://dimg04.c-ctrip.com/images/0203n120009vcm4fh0A20_C_400_600_R5_Q70.jpg_.webp,近中国西部国际博览城 · 天府新区/西博城地区,"[{'type': '地铁', 'info': '距西博城地铁站步行1.1公里,约17分钟'}]",399,豪华单房公寓
28,116989599,成都天新蜀域国际酒店(西博城店),TianXinshuyu INTERNATIONAL HOTEL,停车场,28,成都,Chengdu,双流区,天府新区/西博城地区 华阳街道嘉州路2323号,"{'type': 2, 'latitude': '30.43202', 'longitude': '104.061598'}",4.7,137,https://dimg04.c-ctrip.com/images/1mc5i12000dakyqg265BC_C_400_600_R5_Q70.jpg_.webp,近红莲地铁站 · 天府新区/西博城地区,"[{'type': '地铁', 'info': '距红莲地铁站步行<100米,约1分钟'}]",408,公寓大床房
29,54598115,成都辉盛庭国际公寓,Fraser Residence Chengdu,桑拿,28,成都,Chengdu,武侯区,环球中心海洋乐园/世纪城新会展 高新区环岛路1288号,"{'type': 2, 'latitude': '30.572769', 'longitude': '104.075912'}",4.7,1317,https://dimg04.c-ctrip.com/images/02020120004z7ac06F055_C_400_600_R5_Q70.jpg_.webp,近成都金融城演艺中心 · 海洋乐园/世纪城新会展,"[{'type': '地铁', 'info': '距心岛地铁站-D口步行970米,约14分钟'}]",388,豪华双床房
31,472901,成都家园国际酒店,Homeland Hotel,桑拿,28,成都,Chengdu,双流区,双流国际机场/空港花田 希望路8号,"{'type': 2, 'latitude': '30.577755', 'longitude': '104.011018'}",4.6,882,https://dimg04.c-ctrip.com/images/1mc2412000azet832883B_C_400_600_R5_Q70.jpg_.webp,近顺风地铁站 · 双流国际机场/空港花田,"[{'type': '地铁', 'info': '距顺风地铁站步行<100米,约2分钟'}]",427,豪华大床房
32,429876,成都世纪城假日酒店-西楼,Holiday Inn Chengdu Century City,行政酒廊,28,成都,Chengdu,武侯区,环球中心海洋乐园/世纪城新会展 世纪城路208号,"{'type': 2, 'latitude': '30.558004', 'longitude': '104.073921'}",4.6,1034,https://dimg04.c-ctrip.com/images/2003170000011io1uA47A_C_400_600_R5_Q70.jpg_.webp,近成都世纪城新国际会展中心 · 海洋乐园/世纪城新会展,"[{'type': '地铁', 'info': '距世纪城地铁站-C1口步行770米,约11分钟'}]",536,高级房
33,115699713,成都中航明宇尚雅酒店,GALAXY MINYOUN CHENGDU XINDU HOTEL,自营亲子房,28,成都,Chengdu,新都区,凤凰山体育公园/大丰 兴贸路178号,"{'type': 2, 'latitude': '30.811111', 'longitude': '104.084485'}",4.8,269,https://dimg04.c-ctrip.com/images/1mc5812000d1r6knc271E_C_400_600_R5_Q70.jpg_.webp,近斑竹园北欧知识城 · 凤凰山体育公园/大丰,"[{'type': '地铁', 'info': '距廖家湾地铁站-A1口步行730米,约11分钟'}]",412,旅行者大床房
34,602682,成都空港云享酒店(双流机场店),CHENGDU JOYHUB AIR HOTEL,泳池,28,成都,Chengdu,双流区,双流国际机场/空港花田 双流国际机场北二路6号,"{'type': 2, 'latitude': '30.574848', 'longitude': '103.960494'}",4.8,3301,https://dimg04.c-ctrip.com/images/1mc4512000bdhizivAC1D_C_400_600_R5_Q70.jpg_.webp,近双流机场站 · 双流国际机场/空港花田,"[{'type': '地铁', 'info': '距双流机场1航站楼地铁站-C口步行440米,约7分钟'}]",378,豪华双床房
36,117959388,成都保利辉盛坊国际公寓,Fraser Place Chengdu,家庭房,28,成都,Chengdu,武侯区,环球中心海洋乐园/世纪城新会展 吉瑞二路99号,"{'type': 2, 'latitude': '30.556195', 'longitude': '104.061319'}",4.7,424,https://dimg04.c-ctrip.com/images/1mc3z12000dilealg15BB_C_400_600_R5_Q70.jpg_.webp,近成都环球中心 · 海洋乐园/世纪城新会展,"[{'type': '地铁', 'info': '距世纪城地铁站步行1公里,约16分钟'}]",435,豪华大床房
37,114122667,丽柏酒店(成都四河地铁站新川店),Park Inn by Radisson Chengdu Convention and Exhibition Center Xinchuan,窗外好景,28,成都,Chengdu,双流区,中和/新川科技园区域 高新区新川路519号,"{'type': 2, 'latitude': '30.517024', 'longitude': '104.078235'}",4.7,803,https://dimg04.c-ctrip.com/images/1mc5e12000d8w7muy9943_C_400_600_R5_Q70.jpg_.webp,近新川创新科技园 · 中和商圈,"[{'type': '地铁', 'info': '距四河地铁站-D口步行810米,约12分钟'}]",398,舒适双床房
38,120879569,成都新都豪生Life酒店,HOWARD JOHNSON Life,家庭房,28,成都,Chengdu,新都区,新都大学城 桂湖街道工业大道东段1号,"{'type': 2, 'latitude': '30.803662', 'longitude': '104.15995'}",4.2,111,https://dimg04.c-ctrip.com/images/0204u12000ekf2t79BC64_C_400_600_R5_Q70.jpg_.webp,近团结新区地铁站 · 新都大学城,"[{'type': '地铁', 'info': '距团结新区地铁站-A口步行110米,约2分钟'}]",370,Life·时尚大床房
39,80942972,橙果酒店(成都宽窄巷子通惠门地铁站店),"Orange Fruit Hotel (Chengdu Kuanzhai Alley, Tonghuimen Metro Station)",免费停车,28,成都,Chengdu,青羊区,宽窄巷子/中医学院附近地区 金河路75号,"{'type': 2, 'latitude': '30.661073', 'longitude': '104.05048'}",4.8,5255,https://dimg04.c-ctrip.com/images/0201z120009kc6szjF4FE_C_400_600_R5_Q70.jpg_.webp,近通惠门地铁站 · 宽窄巷子商圈,"[{'type': '地铁', 'info': '距通惠门地铁站-C口步行140米,约2分钟'}]",347,雅致大床房
41,440516,丽呈東谷酒店(成都天府广场店),Rezen Dong Hotel Chengdu Tianfu Plaza Store,免费停车,28,成都,Chengdu,青羊区,天府广场/成都博物馆 西御街8号 (地铁1、2号线天府广场站C出口100米),"{'type': 2, 'latitude': '30.65694', 'longitude': '104.062184'}",4.8,5749,https://dimg04.c-ctrip.com/images/200q170000011zzae9186_C_400_600_R5_Q70.jpg_.webp,近宽窄巷子 · 天府广场/成都博物馆,"[{'type': '地铁', 'info': '距天府广场地铁站-西1口步行230米,约4分钟'}]",404,标准大床房（零压床垫+零压枕+小冰箱+智能马桶+雨淋顶喷）
42,690730,成都太古里春熙林恩国际酒店,Lyhn International Hotel,免费停车,28,成都,Chengdu,青羊区,春熙路/太古里商业区 提督街1号,"{'type': 2, 'latitude': '30.659962', 'longitude': '104.076052'}",4.8,4960,https://dimg04.c-ctrip.com/images/0200d120008puofo9926C_C_400_600_R5_Q70.jpg_.webp,近成都远洋太古里 · 春熙路/太古里,"[{'type': '地铁', 'info': '距太升南路地铁站-B口步行650米,约10分钟'}]",398,嘉宾大床房
43,72673011,成都蓉城悦柳·采薇美食酒店,Chengdu willow hotel,免费停车,28,成都,Chengdu,武侯区,华西医院/省体育馆商业区 人民南路三段24号,"{'type': 2, 'latitude': '30.637218', 'longitude': '104.065956'}",4.8,8187,https://dimg04.c-ctrip.com/images/0205y1200090q9xymF68A_C_400_600_R5_Q70.jpg_.webp,近省体育馆地铁站 · 华西医院商圈,"[{'type': '地铁', 'info': '距省体育馆地铁站步行430米,约6分钟'}]",330,采薇大床房
44,433510,隐栖堂酒店(四川大学新南门地铁站店),Yinxitang Hotel (Sichuan University Xinnanmen Subway Station Branch),免费停车,28,成都,Chengdu,武侯区,华西医院/省体育馆商业区 南台路8号,"{'type': 2, 'latitude': '30.642922', 'longitude': '104.074054'}",4.8,5974,https://dimg04.c-ctrip.com/images/1mc0u12000ds49uzaDF2F_C_400_600_R5_Q70.jpg_.webp,近新南门地铁站 · 华西医院商圈,"[{'type': '地铁', 'info': '距新南门地铁站-D口步行170米,约3分钟'}]",298,温馨榻榻米房
46,6287313,成都宽窄巷子希尔顿欢朋酒店,Hampton by Hilton Chengdu Kuanzhai Alley,免费停车,28,成都,Chengdu,金牛区,宽窄巷子/中医学院附近地区 马家花园路11号,"{'type': 2, 'latitude': '30.68144', 'longitude': '104.052865'}",4.7,5466,https://dimg04.c-ctrip.com/images/1mc2q12000atr6y9f9884_C_400_600_R5_Q70.jpg_.webp,近花牌坊地铁站 · 宽窄巷子商圈,"[{'type': '地铁', 'info': '距花牌坊地铁站-A口步行620米,约9分钟'}]",458,舒适大床房
47,106532031,棠棣东方酒店,TANGDI ORIENTAL HOTEL,管家服务,28,成都,Chengdu,双流区, 黄甲街道周家庵路1号,"{'type': 2, 'latitude': '30.500146', 'longitude': '103.954927'}",4.8,195,https://dimg04.c-ctrip.com/images/0203i12000at00ympCCBC_C_400_600_R5_Q70.jpg_.webp,近黄甲广场,"[{'type': '地铁', 'info': '距龙港地铁站-E口驾车4.9公里,约10分钟'}]",349,锦鲤特惠房
48,425125,成都总府皇冠假日酒店,Crowne Plaza Chengdu City Center,泳池,28,成都,Chengdu,锦江区,春熙路/太古里商业区 总府街31号,"{'type': 2, 'latitude': '30.658654', 'longitude': '104.077996'}",4.7,5406,https://dimg04.c-ctrip.com/images/0204d120009qbk72xA057_C_400_600_R5_Q70.jpg_.webp,近成都太古里 · 春熙路/太古里,"[{'type': '地铁', 'info': '距春熙路地铁站步行740米,约11分钟'}]",549,高级房
49,435688,成都东大明宇豪雅饭店,Minyoun Chengdu Dongda Hotel,泳池,28,成都,Chengdu,锦江区,春熙路/太古里商业区 东大街紫东楼段39号 (明宇金融广场),"{'type': 2, 'latitude': '30.647184', 'longitude': '104.091061'}",4.8,3791,https://dimg04.c-ctrip.com/images/1mc1712000epu78z56B04_C_400_600_R5_Q70.jpg_.webp,近成都太古里 · 春熙路/太古里,"[{'type': '地铁', 'info': '距东门大桥地铁站-C口步行330米,约5分钟'}]",599,经典双床房（高空都市城景）
51,391650,四川岷山饭店,Minshan Hotel,泳池,28,成都,Chengdu,锦江区,天府广场/成都博物馆 人民南路二段55号,"{'type': 2, 'latitude': '30.648693', 'longitude': '104.066867'}",4.7,4175,https://dimg04.c-ctrip.com/images/220j1b000001ap6vw1096_C_400_600_R5_Q70.jpg_.webp,近春熙路 · 天府广场/成都博物馆,"[{'type': '地铁', 'info': '距锦江宾馆地铁站-C1口步行170米,约3分钟'}]",497,城市精致大床房
52,430047,成都明宇尚雅饭店,Galaxy Minyoun Chengdu Hotel,桑拿,28,成都,Chengdu,武侯区,华西医院/省体育馆商业区 临江西路1号,"{'type': 2, 'latitude': '30.646081', 'longitude': '104.064157'}",4.8,3452,https://dimg04.c-ctrip.com/images/0205l120008xhbpgfBA0E_C_400_600_R5_Q70.jpg_.webp,近天府广场 · 华西医院商圈,"[{'type': '地铁', 'info': '距华西坝地铁站-A口步行530米,约8分钟'}]",527,旅行者客房
