,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,29732820,重庆清阅·OneJasper精选酒店,Qingyue OneJasper select Hotel,管家服务,4,重庆,Chongqing,渝中区,大坪/时代天街 龙湖时代天街B馆4号楼18楼,"{'type': 2, 'latitude': '29.538263', 'longitude': '106.51261'}",4.9,2158,https://dimg04.c-ctrip.com/images/0206c120008ewqnz0AC0F_C_400_600_R5_Q70.jpg_.webp,近龙湖重庆时代天街 · 大坪,"[{'type': '地铁', 'info': '距石油路地铁站-1B口步行460米,约7分钟'}]",291,舒适·kingkoil护脊大床房（金可儿护脊床垫+天丝记忆枕+羽丝绒被芯+康乃馨助眠床品）
1,72917940,重庆美利亚酒店,Melia Chongqing,泳池,4,重庆,Chongqing,江北区,铁山坪森林公园度假区 逸兴路155号,"{'type': 2, 'latitude': '29.600078', 'longitude': '106.681531'}",4.8,2209,https://dimg04.c-ctrip.com/images/1mc0p12000ci82hac3907_C_400_600_R5_Q70.jpg_.webp,近铁山坪草野星空露营基地 · 铁山坪度假区,"[{'type': '地铁', 'info': '距铁山坪地铁站驾车5.3公里,约11分钟'}]",566,美利亚林景双床房
2,1214343,重庆雾都宾馆,Wudu Hotel,泳池,4,重庆,Chongqing,渝中区,上清寺/人民大礼堂/李子坝 上清寺中山四路上曾家岩24号,"{'type': 2, 'latitude': '29.564909', 'longitude': '106.551346'}",4.8,2675,https://dimg04.c-ctrip.com/images/0203k120000xqph9r6B77_C_400_600_R5_Q70.jpg_.webp,近三峡博物馆 · 上清寺/人民广场,"[{'type': '地铁', 'info': '距大礼堂地铁站-1口步行840米,约12分钟'}]",421,A栋迷你大床房
3,967705,重庆渝商国际大酒店,Yushang International Hotel,免费停车,4,重庆,Chongqing,渝北区,大竹林/光电园 两江新区黄山大道东段172号,"{'type': 2, 'latitude': '29.617377', 'longitude': '106.519009'}",4.7,1315,https://dimg04.c-ctrip.com/images/20031c000001dvlq981AC_C_400_600_R5_Q70.jpg_.webp,近人和地铁站 · 大竹林/光电园,"[{'type': '地铁', 'info': '距人和地铁站-2口步行890米,约13分钟'}]",422,精品大床房(无窗)
4,542693,重庆世纪金源大饭店,Chongqing Empark Grand Hotel,免费停车,4,重庆,Chongqing,江北区,观音桥/九街/北滨路 建新北路二支路1号,"{'type': 2, 'latitude': '29.574811', 'longitude': '106.529797'}",4.7,7303,https://dimg04.c-ctrip.com/images/1mc5i12000f3zd6ty9B60_C_400_600_R5_Q70.jpg_.webp,近观音桥步行街 · 观音桥,"[{'type': '地铁', 'info': '距观音桥地铁站-5口步行350米,约5分钟'}]",399,高级大床房
5,99019703,重庆北站亚朵酒店,Chongqing North Railway Station Atour Hotel,免费停车,4,重庆,Chongqing,渝北区,重庆北站地区 泰山大道东段62号动力国际A座1-11楼,"{'type': 2, 'latitude': '29.603878', 'longitude': '106.553201'}",4.8,1934,https://dimg04.c-ctrip.com/images/1mc2612000cm0k4dh1E76_C_400_600_R5_Q70.jpg_.webp,近动力国际 · 重庆北站地区,"[{'type': '地铁', 'info': '距重庆北站南广场地铁站步行650米,约10分钟'}]",332,高级双床房
6,638087,重庆君豪大饭店,King World Hotel,泳池,4,重庆,Chongqing,江北区,观音桥/九街/北滨路 金源路9号,"{'type': 2, 'latitude': '29.559289', 'longitude': '106.527161'}",4.7,5309,https://dimg04.c-ctrip.com/images/1mc3f12000f40pje27F6A_C_400_600_R5_Q70.jpg_.webp,近观音桥步行街 · 观音桥,"[{'type': '地铁', 'info': '距李家坪地铁站-2A口步行1.4公里,约20分钟'}]",357,高级双床房
7,62614508,重庆沙磁公馆,Such Mansion,管家服务,4,重庆,Chongqing,沙坪坝区,沙坪坝站/三峡广场 沙滨路112号,"{'type': 2, 'latitude': '29.579584', 'longitude': '106.454819'}",4.8,1068,https://dimg04.c-ctrip.com/images/0201s1200094tg0maED0B_C_400_600_R5_Q70.jpg_.webp,近磁器口古镇 · 沙坪坝,"[{'type': '地铁', 'info': '距磁器口地铁站步行1公里,约15分钟'}]",378,雅致大床房-丝涟床垫-电热烘干架
8,1007020,重庆华辰国际大酒店,HC International Hotel,湖景房,4,重庆,Chongqing,渝北区,江北国际机场地区 空港新城百果路33号,"{'type': 2, 'latitude': '29.705983', 'longitude': '106.611381'}",4.6,983,https://dimg04.c-ctrip.com/images/02039120008ro0l7u1AE6_C_400_600_R5_Q70.jpg_.webp,近重庆渝北区体育馆 · 江北国际机场,"[{'type': '地铁', 'info': '距春华大道地铁站-3B口步行1.2公里,约17分钟'}]",336,华辰特惠大床房
9,2638694,重庆两江假日酒店,River & Holiday  Hotel ChongQing,管家服务,4,重庆,Chongqing,江北区,观音桥/九街/北滨路 建新北路38号,"{'type': 2, 'latitude': '29.583068', 'longitude': '106.527963'}",4.7,3576,https://dimg04.c-ctrip.com/images/200q1e000001fvvft3744_C_400_600_R5_Q70.jpg_.webp,近观音桥步行街 · 观音桥,"[{'type': '地铁', 'info': '距红旗河沟地铁站-1口步行500米,约8分钟'}]",441,雅居客房
