,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,121070310,广州番禺万博中心舒与酒店,Guangzhou Panyu Wanbo Center Skanhem Hotel,影音房,32,广州,Guangzhou,番禺区,番禺长隆/广州南站附近 南村镇汇智一路6号锦麟万博B栋,"{'type': 2, 'latitude': '23.009654', 'longitude': '113.346259'}",4.8,317,https://dimg04.c-ctrip.com/images/1mc0x12000elxoi8zB089_C_400_600_R5_Q70.jpg_.webp,近南村万博地铁站 · 番禺长隆,"[{'type': '地铁', 'info': '距南村万博地铁站-B口步行670米,约10分钟'}]",493,标准大床房（智能语音+投屏电视+小冰箱）
1,90697851,广州天河体育中心美居酒店,Guangzhou Tianhe Sports Center Mercure Hotel,管家服务,32,广州,Guangzhou,天河区,广州东站/五山 天河北路365号201房之夹层4层5层9层10层11层12层14-27层,"{'type': 2, 'latitude': '23.142072', 'longitude': '113.328613'}",4.8,4191,https://dimg04.c-ctrip.com/images/1mc6f12000acz7h6j0B68_C_400_600_R5_Q70.jpg_.webp,近广州东站 · 广州东/五山,"[{'type': '地铁', 'info': '距林和西地铁站-D口步行570米,约8分钟'}]",474,标准大床房
2,121196754,广州东站城际酒店,Intercity Guangzhou East Railway Station Hotel,停车场,32,广州,Guangzhou,天河区,广州东站/五山 瘦狗岭路313号,"{'type': 2, 'latitude': '23.151183', 'longitude': '113.32869'}",4.8,258,https://dimg04.c-ctrip.com/images/0206v12000en4o8kq76D2_C_400_600_R5_Q70.jpg_.webp,近广州东站 · 广州东/五山,"[{'type': '地铁', 'info': '距广州东站地铁站-J口步行510米,约8分钟'}]",551,城际大床房
3,428361,广州建国酒店,"Jianguo Hotel, Guangzhou",泳池,32,广州,Guangzhou,天河区,广州东站/五山 林和中路172号,"{'type': 2, 'latitude': '23.147862', 'longitude': '113.326259'}",4.5,5694,https://dimg04.c-ctrip.com/images/1mc6x12000b19c2w14EBE_C_400_600_R5_Q70.jpg_.webp,近广州东站 · 广州东/五山,"[{'type': '地铁', 'info': '距广州东站地铁站-F口步行190米,约3分钟'}]",502,高级大床房
4,6021813,广州北京路天字码头亚朵S酒店,"Atour S Hotel, Beijing Road Tianzi Wharf, Guangzhou",免费停车,32,广州,Guangzhou,越秀区,海珠广场/北京路步行街 沿江中路233号,"{'type': 2, 'latitude': '23.115333', 'longitude': '113.271483'}",4.7,4445,https://dimg04.c-ctrip.com/images/0200t12000981c7lv9753_C_400_600_R5_Q70.jpg_.webp,近北京路地铁站 · 海珠广场/北京路步行街,"[{'type': '地铁', 'info': '距北京路地铁站-A口步行400米,约6分钟'}]",561,高级大床房
5,116794135,宜致酒店(广州长隆野生动物世界店),Yizhi Hotel (Guangzhou Chimelong Wildlife World),家庭房,32,广州,Guangzhou,番禺区,番禺长隆/广州南站附近 大石街105国道大石段613号,"{'type': 2, 'latitude': '23.0087', 'longitude': '113.308714'}",4.7,748,https://dimg04.c-ctrip.com/images/1mc3012000d43q21d1AB0_C_400_600_R5_Q70.jpg_.webp,近长隆野生动物世界 · 番禺长隆,"[{'type': '地铁', 'info': '距大石地铁站-A口步行2公里,约28分钟'}]",319,高级大床房（智能客控+明亮视野+迷你冰箱）
6,106357455,广州珠江太古仓亚朵S酒店,Atour S Hotel Guangzhou Zhujiang Taigucang,免费停车,32,广州,Guangzhou,海珠区,江南西/中大南校区 工业大道中222号,"{'type': 2, 'latitude': '23.079959', 'longitude': '113.266346'}",4.8,4665,https://dimg04.c-ctrip.com/images/1mc3o12000atu8gho826A_C_400_600_R5_Q70.jpg_.webp,近燕岗地铁站 · 珠江南附近,"[{'type': '地铁', 'info': '距燕岗地铁站步行620米,约9分钟'}]",533,高级大床房
7,4547905,广州粤大金融城国际酒店,Yueda Financial City International Hotel,亲子主题房,32,广州,Guangzhou,天河区,奥体中心/国际金融城 黄埔大道中322号,"{'type': 2, 'latitude': '23.119562', 'longitude': '113.37278'}",4.7,2339,https://dimg04.c-ctrip.com/images/200p1c000001d430z981A_C_400_600_R5_Q70.jpg_.webp,近天河公园 · 奥体中心/金融城,"[{'type': '地铁', 'info': '距科韵路地铁站-A口步行500米,约8分钟'}]",498,高级双床房(无窗)
8,102306108,广州天河太古汇喆啡锐品酒店,Guangzhou Tianhe Taikoohui - Coffee Rupin Hotel,免费停车,32,广州,Guangzhou,天河区,天河体育中心/太古汇 天河路623号,"{'type': 2, 'latitude': '23.135573', 'longitude': '113.340341'}",4.7,5001,https://dimg04.c-ctrip.com/images/1mc4212000acpi5myECCF_C_400_600_R5_Q70.jpg_.webp,近岗顶地铁站 · 天体中心/太古汇,"[{'type': '地铁', 'info': '距岗顶地铁站-A口步行110米,约2分钟'}]",566,品韵大床房（复古怀旧+沉浸舒适）
9,82330975,美豪丽致酒店(广州东站店),Mehood LIZ Hotel(Guangzhou East Station Store),管家服务,32,广州,Guangzhou,天河区,广州东站/五山 林和西路167号,"{'type': 2, 'latitude': '23.150977', 'longitude': '113.321899'}",4.7,7766,https://dimg04.c-ctrip.com/images/0205412000a5bei1lB716_C_400_600_R5_Q70.jpg_.webp,近广州东站 · 广州东/五山,"[{'type': '地铁', 'info': '距广州东站地铁站-B2口步行160米,约3分钟'}]",535,高级大床房
