,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,70529663,南京南站逸扉酒店,UrCove by HYATT Nanjing South Railway Station,健身室,12,南京,Nanjing,江宁区,雨花台南京南站地区 金兰路1号,"{'type': 2, 'latitude': '31.965803', 'longitude': '118.801942'}",4.7,4482,https://dimg04.c-ctrip.com/images/1mc4l12000eh5rnah3EA6_C_400_600_R5_Q70.jpg_.webp,近南京南站 · 雨花台南京南站,"[{'type': '地铁', 'info': '距南京南站地铁站-4口步行520米,约8分钟'}]",379,静享双床房（私享Coffee机+冰箱+智能洁具）
1,375288,南京玄武饭店,Lakeview Xuanwu Hotel,桑拿,12,南京,Nanjing,鼓楼区,玄武湖湖南路地区 中央路193号,"{'type': 2, 'latitude': '32.070791', 'longitude': '118.783697'}",4.7,4842,https://dimg04.c-ctrip.com/images/fd/hotel/g4/M0A/A1/A8/CggYHlXrWGSAW1FUAC4A9I06-7w105_C_400_600_R5_Q70.jpg_.webp,近玄武湖景区 · 玄武湖湖南路地区,"[{'type': '地铁', 'info': '距玄武门地铁站-1口步行<100米,约2分钟'}]",556,玄武贵宾尊享大床房
2,378829,南京城市名人酒店,Celebrity City Hotel Nanjing,湖景房,12,南京,Nanjing,鼓楼区,玄武湖湖南路地区 中山北路30号,"{'type': 2, 'latitude': '32.062756', 'longitude': '118.780628'}",4.5,4218,https://dimg04.c-ctrip.com/images/200q15000000xqwfj3A0E_C_400_600_R5_Q70.jpg_.webp,近南京大学(鼓楼校区) · 玄武湖湖南路地区,"[{'type': '地铁', 'info': '距鼓楼地铁站-6口步行480米,约7分钟'}]",431,高级大床房
3,371145,南京维景国际大酒店,Grand Metropark Hotel Nanjing,泳池,12,南京,Nanjing,玄武区,明故宫/南京博物院地区 中山东路319号,"{'type': 2, 'latitude': '32.040158', 'longitude': '118.823291'}",4.7,22918,https://dimg04.c-ctrip.com/images/0205d1200081rtvuwB16B_C_400_600_R5_Q70.jpg_.webp,近南京博物院 · 明故宫,"[{'type': '地铁', 'info': '距明故宫地铁站-1口步行410米,约6分钟'}]",467,高级大床房
4,73237985,南京高淳域见芳草地度假酒店,Wonderland  Resort Nan Jing,湖景房,12,南京,Nanjing,高淳区,高淳老街/桠溪慢城 东坝街道游子山村周泗涧68号,"{'type': 2, 'latitude': '31.350625', 'longitude': '119.051378'}",4.8,782,https://dimg04.c-ctrip.com/images/0204b120008k76bmt7511_C_400_600_R5_Q70.jpg_.webp,高淳老街/桠溪慢城,"[{'type': '火车站', 'info': '距瓦屋山站驾车42.3公里,约56分钟'}]",541,芳草地大床房
5,68564345,美仑国际酒店(南京禄口机场店),Meilun International Hotel (Nanjing Lukou Airport),免费停车,12,南京,Nanjing,溧水区, 福田路1号,"{'type': 2, 'latitude': '31.733677', 'longitude': '118.957325'}",4.6,394,https://dimg04.c-ctrip.com/images/1mc0f12000cnqpnnvADCA_C_400_600_R5_Q70.jpg_.webp,近南京视觉艺术学院,"[{'type': '地铁', 'info': '距空港新城溧水地铁站-2A口驾车3.7公里,约6分钟'}]",361,高级大床房
6,419566,南京古南都饭店,Nanjing Grand Hotel,泳池,12,南京,Nanjing,鼓楼区,新街口地区/市中心 广州路208号,"{'type': 2, 'latitude': '32.051632', 'longitude': '118.773456'}",4.7,4965,https://dimg04.c-ctrip.com/images/1mc1c12000du2sysgC40E_C_400_600_R5_Q70.jpg_.webp,近南京师范大学(随园校区) · 新街口/市中心,"[{'type': '地铁', 'info': '距云南路地铁站步行990米,约14分钟'}]",527,高级大床房
7,71498466,南京固城湾开元名都度假酒店,Grand New Century Resort Gaochun Nanjing,泳池,12,南京,Nanjing,高淳区,高淳老街/桠溪慢城 淳兴路29号,"{'type': 2, 'latitude': '31.317174', 'longitude': '118.874748'}",4.8,4094,https://dimg04.c-ctrip.com/images/02030120008eggehv7CA5_C_400_600_R5_Q70.jpg_.webp,近固城湾 · 高淳老街/桠溪慢城,"[{'type': '地铁', 'info': '距高淳地铁站驾车3.2公里,约12分钟'}]",552,鹿鸣大床房（景区内）
8,426068,南京开元大酒店,Dingye New Century Hotel Nanjing,泳池,12,南京,Nanjing,浦口区,江浦汤泉地区 文德东路35号,"{'type': 2, 'latitude': '32.060854', 'longitude': '118.631036'}",4.8,3164,https://dimg04.c-ctrip.com/images/02047120008e1eb9lBFE3_C_400_600_R5_Q70.jpg_.webp,近凤凰台 · 江浦汤泉,"[{'type': '地铁', 'info': '距文德路地铁站步行580米,约9分钟'}]",378,开元双床房
9,76224701,南京汤山涵田·悦酒店,Nanjing Tangshan Hentique Spring Valley Hotel,SPA,12,南京,Nanjing,江宁区,汤山温泉/园博园度假区 汤山街道延祥路66号,"{'type': 2, 'latitude': '32.046005', 'longitude': '119.058134'}",4.8,2111,https://dimg04.c-ctrip.com/images/1mc4d12000efyqfq11125_C_400_600_R5_Q70.jpg_.webp,近汤山一号温泉度假区 · 汤山温泉/园博园度假区,"[{'type': '地铁', 'info': '距汤山地铁站步行1.2公里,约18分钟'}]",499,朴宿大床房
