,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,14077038,上海静安昆仑大酒店,The Kunlun Jing An,桑拿,2,上海,Shanghai,静安区,静安寺/南京西路 华山路250号,"{'type': 2, 'latitude': '31.219309', 'longitude': '121.445302'}",4.5,4576,https://dimg04.c-ctrip.com/images/20090p000000fq80r0ABF_C_400_600_R5_Q70.jpg_.webp,近安福路 · 静安寺/南京西路,"[{'type': '地铁', 'info': '距静安寺地铁站-12口步行130米,约2分钟'}]",939,豪华大床房
1,83580042,上海陆家嘴世博中心亚朵S酒店,Atour S Hotel  Expo Center Lujiazui Shanghai,免费停车,2,上海,Shanghai,浦东新区,新国际博览中心/世博园 世博村路333号,"{'type': 2, 'latitude': '31.195052', 'longitude': '121.506961'}",4.8,2416,https://dimg04.c-ctrip.com/images/020091200096zae0t1A18_C_400_600_R5_Q70.jpg_.webp,近上海世博展览馆 · 新国际博览中心,"[{'type': '地铁', 'info': '距高科西路地铁站步行1.3公里,约19分钟'}]",737,高级大床房
2,95472738,上海国际旅游度假区荷逸唐酒店,Heyitang Hotel Shanghai International Tourism Resort,免费停车,2,上海,Shanghai,浦东新区,南汇/野生动物园 惠南镇拱极路2879号,"{'type': 2, 'latitude': '31.053546', 'longitude': '121.764439'}",4.8,12405,https://dimg04.c-ctrip.com/images/0202d120009dj75ug8E02_C_400_600_R5_Q70.jpg_.webp,近惠南地铁站 · 南汇/野生动物园,"[{'type': '地铁', 'info': '距惠南地铁站-2口步行200米,约3分钟'}]",437,荷逸双床房
3,479628,美豪丽致酒店(上海徐家汇衡山路店),"Lestie Hotel  Hengshan Road, Xujiahui, Shanghai",管家服务,2,上海,Shanghai,徐汇区,徐家汇地区 建国西路691号,"{'type': 2, 'latitude': '31.200012', 'longitude': '121.444359'}",4.6,7373,https://dimg04.c-ctrip.com/images/02015120008sldfv87911_C_400_600_R5_Q70.jpg_.webp,近上海交通大学(徐汇校区) · 徐家汇,"[{'type': '地铁', 'info': '距衡山路地铁站-1口步行600米,约9分钟'}]",615,雅致大床房
4,476075,上海南郊宾馆,Nanjiao Hotel Shanghai,泳池,2,上海,Shanghai,奉贤区,奉贤开发区 南桥新城展园路398号,"{'type': 2, 'latitude': '30.925194', 'longitude': '121.483624'}",4.6,2194,https://dimg04.c-ctrip.com/images/hotel/65000/64099/70c675a9a4ad4def85e129256a8bf7d0_C_400_600_R5_Q70.jpg_.webp,近百联南桥购物中心 · 奉贤开发区,"[{'type': '地铁', 'info': '距望园路地铁站-3口步行1公里,约15分钟'}]",522,商务大床房
5,5207638,上海柏思特酒店,Shanghai Best Boutique Hotel,免费停车,2,上海,Shanghai,浦东新区,"迪士尼度假区 南六公路1188号1, 2号楼","{'type': 2, 'latitude': '31.096668', 'longitude': '121.709423'}",4.7,1816,https://dimg04.c-ctrip.com/images/200r060000001nrsmE3B7_C_400_600_R5_Q70.jpg_.webp,近会龙寺 · 迪士尼,"[{'type': '地铁', 'info': '距迪士尼地铁站-3口驾车8.5公里,约16分钟'}]",382,高级标准房
6,50269909,桔子水晶上海虹桥枢纽国展中心酒店,Crystal Orange Hotel (Shanghai Hongqiao Hub International Exhibition Center),免费停车,2,上海,Shanghai,闵行区,虹桥机场/国家会展中心 繁兴路99号,"{'type': 2, 'latitude': '31.207133', 'longitude': '121.297587'}",4.8,6314,https://dimg04.c-ctrip.com/images/200m1e000001g0ous395D_C_400_600_R5_Q70.jpg_.webp,近国家会展中心(上海) · 虹桥机场/国家会展中心,"[{'type': '地铁', 'info': '距蟠龙路地铁站驾车3.3公里,约11分钟'}]",567,极简风大床房(智能客控+手机投屏）
7,1496646,麦新格国际酒店(上海国际旅游度假区店周浦地铁站店),"Maixinge International Hotel (Shanghai International Tourism Resort, Zhoupu Metro Station )",免费停车,2,上海,Shanghai,浦东新区,周浦康桥地区 周浦镇上南路7779号,"{'type': 2, 'latitude': '31.118551', 'longitude': '121.571871'}",4.9,9254,https://dimg04.c-ctrip.com/images/1mc5612000bl803fh7D85_C_400_600_R5_Q70.jpg_.webp,近周浦地铁站 · 周康地区,"[{'type': '地铁', 'info': '距周浦地铁站-1口步行680米,约10分钟'}]",508,豪华大床房
8,456909,上海蓝天宾馆,Lantian Hotel,行政酒廊,2,上海,Shanghai,杨浦区,江湾/五角场商业区 黄兴路2200号,"{'type': 2, 'latitude': '31.298842', 'longitude': '121.516814'}",4.8,1832,https://dimg04.c-ctrip.com/images/200p170000012muak6394_C_400_600_R5_Q70.jpg_.webp,近五角场地铁站 · 江湾/五角场,"[{'type': '地铁', 'info': '距五角场地铁站-5口步行460米,约7分钟'}]",613,标准间双床
9,6275850,桔子水晶上海外滩豫园酒店,Crystal Orange Hotel,SPA,2,上海,Shanghai,黄浦区,豫园地区 人民路399号,"{'type': 2, 'latitude': '31.229024', 'longitude': '121.49172'}",4.8,3854,https://dimg04.c-ctrip.com/images/1mc5512000bocwqgfACA5_C_400_600_R5_Q70.jpg_.webp,近外滩 · 豫园,"[{'type': '地铁', 'info': '距豫园地铁站步行430米,约7分钟'}]",660,大床房
