hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
114405293,铂尔登美瑾酒店(深圳南山西丽地铁站店),Dalden Meijin Hotel,停车场,30,深圳,Shenzhen,南山区,大学城/西丽动物园 西丽街道新围社区留仙大道6008号鼎新大厦,"{'type': 2, 'latitude': '22.581022', 'longitude': '113.953854'}",4.5,437,https://dimg04.c-ctrip.com/images/1mc6m12000cw2i698FFBA_C_400_600_R5_Q70.jpg_.webp,近西丽地铁站 · 西丽/大学城,"[{'type': '地铁', 'info': '距西丽地铁站步行100米,约2分钟'}]",331,阳光全景大床房
457383,深圳南山美爵酒店,Grand Mercure Shenzhen Nanshan,管家服务,30,深圳,Shenzhen,南山区,海岸城/后海 南新路1177号,"{'type': 2, 'latitude': '22.521164', 'longitude': '113.918912'}",4.8,2988,https://dimg04.c-ctrip.com/images/1mc3w12000beotv1dD08E_C_400_600_R5_Q70.jpg_.webp,近阳光科创中心 · 海岸城/后海,"[{'type': '地铁', 'info': '距南山地铁站-A口步行600米,约9分钟'}]",572,经典大床房
48702888,深圳罗湖地王亚朵酒店,Atour Hotel (Shenzhen Luohu Diwang),管家服务,30,深圳,Shenzhen,罗湖区,万象城/京基100 宝安南路2014号振业大厦B座,"{'type': 2, 'latitude': '22.544854', 'longitude': '114.11107'}",4.7,6353,https://dimg04.c-ctrip.com/images/20061900000161quwE32E_C_400_600_R5_Q70.jpg_.webp,近东门老街 · 万象城/京基100,"[{'type': '地铁', 'info': '距大剧院地铁站步行510米,约8分钟'}]",517,雅致大床房
535483,秋果S酒店(深圳会展中心联合广场店),Shenzhen Convention and Exhibition Center Union Plaza Qiuguo S Hotel,免费停车,30,深圳,Shenzhen,福田区,会展中心/CBD 滨河大道5022号联合广场B座,"{'type': 2, 'latitude': '22.529522', 'longitude': '114.06968'}",4.5,5372,https://dimg04.c-ctrip.com/images/1mc1z12000eg3a0lq4F51_C_400_600_R5_Q70.jpg_.webp,近深圳会展中心（福田馆） · 会展中心/CBD,"[{'type': '地铁', 'info': '距福民地铁站-J2口步行600米,约9分钟'}]",499,静谧安睡大床房(深睡记忆枕+遮光窗帘+星级床垫）
21785184,深圳坂田希尔顿欢朋酒店,Hampton by Hilton Shenzhen Bantian,免费停车,30,深圳,Shenzhen,龙岗区,坂田 坂田街道坂雪岗大道4001号、万科城西门对面,"{'type': 2, 'latitude': '22.64597', 'longitude': '114.065743'}",4.7,6179,https://dimg04.c-ctrip.com/images/20030v000000juiwf8FA2_C_400_600_R5_Q70.jpg_.webp,近贝尔路地铁站 · 坂田,"[{'type': '地铁', 'info': '距贝尔路地铁站-C口步行380米,约6分钟'}]",545,舒适双床房
116857658,深圳蛇口太子湾逸扉酒店,UrCove by HYATT Shenzhen Shekou Cruise Center,自营影音房,30,深圳,Shenzhen,南山区,深圳湾口岸/蛇口 汇海路41号领海大厦T4单元2层,"{'type': 2, 'latitude': '22.472324', 'longitude': '113.911549'}",4.8,500,https://dimg04.c-ctrip.com/images/1mc5u12000dceatkdFC5D_C_400_600_R5_Q70.jpg_.webp,近蛇口邮轮中心 · 深圳湾口岸/蛇口,"[{'type': '地铁', 'info': '距太子湾地铁站步行120米,约2分钟'}]",518,高级大床房（私人享Coffee机+小冰箱+智能语音）
70988469,深圳汉普斯酒店,Hamps hotel ShenZhen,动人夜景,30,深圳,Shenzhen,南山区,科技园 白石路3818号,"{'type': 2, 'latitude': '22.532653', 'longitude': '113.941615'}",4.8,7085,https://dimg04.c-ctrip.com/images/0202w120008xp78x12914_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距粤海门地铁站-D2口步行400米,约6分钟'}]",574,精品客房
49706754,深圳世纪花园酒店(南山科技园店),Shenzhen Century Garden Hotel (Nanshan Science and Technology Park),健身室,30,深圳,Shenzhen,南山区,华侨城 沙河街道沙河东路118-5号,"{'type': 2, 'latitude': '22.534199', 'longitude': '113.964544'}",4.7,4083,https://dimg04.c-ctrip.com/images/1mc1012000cwi7kdqDC31_C_400_600_R5_Q70.jpg_.webp,近世界之窗 · 华侨城,"[{'type': '地铁', 'info': '距白石洲地铁站-C口步行840米,约12分钟'}]",325,雅致大床房（新风系统+智能洁具+慕思床垫）
2198537,深圳圣淘沙酒店(南山桃园店),Sentosa Hotel (Taoyuan  Branch),机器人服务,30,深圳,Shenzhen,南山区,科技园 桃园路与南光路交汇处田厦国际中心金牛广场B座,"{'type': 2, 'latitude': '22.533047', 'longitude': '113.927509'}",4.6,2710,https://dimg04.c-ctrip.com/images/0202y120001li3pr7FEF8_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距桃园地铁站-A口步行310米,约5分钟'}]",488,雅致客房（精致开放式厨房）
21145565,高新富悦酒店(深圳南山科技园店),FuYue Hotel Shenzhen,SPA,30,深圳,Shenzhen,南山区,科技园 科技中一路1号 (入口位于华强高新发展大楼旁),"{'type': 2, 'latitude': '22.542402', 'longitude': '113.935079'}",4.8,1819,https://dimg04.c-ctrip.com/images/0204h120009xim7hh9BF5_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距深大地铁站-A3口步行1.2公里,约18分钟'}]",547,高级大床房（洗烘一体洗衣机+冰箱）
119247459,深圳皇悦豪生酒店,Howard Johnson  Royal Hotel Shenzhen,网红泳池,30,深圳,Shenzhen,宝安区,深圳国际会展中心商圈 新桥社区中心路233号鹏展汇2栋,"{'type': 2, 'latitude': '22.74192', 'longitude': '113.828399'}",4.8,192,https://dimg04.c-ctrip.com/images/0201b12000ds0wii67ED5_C_400_600_R5_Q70.jpg_.webp,近后亭地铁站 · 深圳国际会展中心商圈,"[{'type': '地铁', 'info': '距后亭地铁站-C口步行1.4公里,约20分钟'}]",565,豪华大床房
81266091,秋果酒店(深圳会展中心福民地铁站店),Shenzhen Convention and Exhibition Center Fumin Subway Station Qiuguo Hotel,管家服务,30,深圳,Shenzhen,福田区,皇岗口岸/福田口岸 金田路2004号1-5辛盛苑,"{'type': 2, 'latitude': '22.524363', 'longitude': '114.064996'}",4.8,6050,https://dimg04.c-ctrip.com/images/1mc4c12000aug0qb48ECC_C_400_600_R5_Q70.jpg_.webp,近福民地铁站 · 皇岗口岸/福田口岸,"[{'type': '地铁', 'info': '距福民地铁站-F口步行130米,约2分钟'}]",448,舒适大床房（冰箱+深睡记忆枕 ）
88641163,深圳大浪希尔顿惠庭酒店,Home2 Suites By Hilton Shenzhen Dalang,泳池,30,深圳,Shenzhen,龙华区,龙华汽车站/大浪商业区 大浪街道浪静路2号玄一大厦,"{'type': 2, 'latitude': '22.696714', 'longitude': '113.991054'}",4.7,1923,https://dimg04.c-ctrip.com/images/1mc2j12000dfsulwl3D45_C_400_600_R5_Q70.jpg_.webp,近大浪商业中心 · 清湖/大浪,"[{'type': '地铁', 'info': '距阳台山东地铁站-A口驾车3.7公里,约10分钟'}]",475,舒适大床房（智能系统+冰箱+舒达床垫）
60317444,深圳福田上沙地铁站秋果酒店,Shenzhen Futian Shangsha Metro Station Qiuguo Hotel,免费停车,30,深圳,Shenzhen,福田区,皇岗口岸/福田口岸 沙头街道福强路3028号金沙嘴大厦东门,"{'type': 2, 'latitude': '22.523392', 'longitude': '114.039096'}",4.7,5219,https://dimg04.c-ctrip.com/images/200a1f000001gof5z89BA_C_400_600_R5_Q70.jpg_.webp,近上沙地铁站 · 皇岗口岸/福田口岸,"[{'type': '地铁', 'info': '距上沙地铁站-D口步行310米,约5分钟'}]",434,特惠榻榻米大床房（手机投屏）
103066319,荟语酒店(深圳福田口岸会展中心店),Eeril hotel (Shenzhen Futian Convention and Exhibition Center Branch),日光浴场,30,深圳,Shenzhen,福田区,皇岗口岸/福田口岸 福民路199号,"{'type': 2, 'latitude': '22.522552', 'longitude': '114.05032'}",4.7,6024,https://dimg04.c-ctrip.com/images/1mc5x12000ae1wej0ED9C_C_400_600_R5_Q70.jpg_.webp,近深圳会展中心（福田馆） · 皇岗口岸/福田口岸,"[{'type': '地铁', 'info': '距石厦地铁站-F口步行280米,约4分钟'}]",486,高级大床房（ 全屋智能控制 ）
71545262,丽呈朗誉酒店(深圳龙岗中心大运新城店),Rezen Longuu Hotel (Shenzhen Longgang Universiade Center Station),免费停车,30,深圳,Shenzhen,龙岗区,龙岗中心区/大运新城 吉祥里豪庭9栋铭德大厦A座1楼,"{'type': 2, 'latitude': '22.722441', 'longitude': '114.221198'}",4.7,1385,https://dimg04.c-ctrip.com/images/1mc0p12000d38v2htC2F9_C_400_600_R5_Q70.jpg_.webp,近黄阁坑地铁站 · 龙岗中心,"[{'type': '地铁', 'info': '距黄阁坑地铁站-B口步行540米,约8分钟'}]",335,雅尚大床房（无线投屏）
3000237,深圳罗湖东门亚朵X酒店,"Yaduo X Hotel, East Gate, Luohu, Shenzhen",机器人服务,30,深圳,Shenzhen,罗湖区,东门商业区 东门中路2002号江南大厦15楼,"{'type': 2, 'latitude': '22.546214', 'longitude': '114.121982'}",4.6,3488,https://dimg04.c-ctrip.com/images/0201o120009mh48953F76_C_400_600_R5_Q70.jpg_.webp,近东门老街 · 东门商业区,"[{'type': '地铁', 'info': '距晒布地铁站-A1口步行280米,约4分钟'}]",403,雅致大床房
67690986,深圳南山亚朵S酒店,Atour S Hotel Nanshan  Shenzhen,管家服务,30,深圳,Shenzhen,南山区,科技园 北环大道11008号豪方天际广场,"{'type': 2, 'latitude': '22.553211', 'longitude': '113.921042'}",4.8,3130,https://dimg04.c-ctrip.com/images/1mc3r12000bkazbn47B01_C_400_600_R5_Q70.jpg_.webp,近南头古城 · 科技园,"[{'type': '地铁', 'info': '距同乐南地铁站-D口步行710米,约11分钟'}]",679,高级大床房
456133,深圳维景酒店,Metropark Hotel Shenzhen,免费停车,30,深圳,Shenzhen,罗湖区,东门商业区 东门中路2088号,"{'type': 2, 'latitude': '22.549074', 'longitude': '114.123002'}",4.6,8150,https://dimg04.c-ctrip.com/images/200n1e000001ezpu4BF04_C_400_600_R5_Q70.jpg_.webp,近东门老街 · 东门商业区,"[{'type': '地铁', 'info': '距晒布地铁站-A2口步行<100米,约1分钟'}]",387,高级双床套房(一房一厅)
71670993,深圳璟峯酒店(西丽大学城店),Jingfeng Hotel,免费停车,30,深圳,Shenzhen,南山区,大学城/西丽动物园 留仙大道4168号众冠时代广场B座,"{'type': 2, 'latitude': '22.58316', 'longitude': '113.964444'}",4.7,4595,https://dimg04.c-ctrip.com/images/1mc5g12000d3l2j741830_C_400_600_R5_Q70.jpg_.webp,近大学城地铁站 · 西丽/大学城,"[{'type': '地铁', 'info': '距大学城地铁站-C口步行130米,约2分钟'}]",429,豪华大床房-人气热销
115803290,深圳南山芒果网大厦亚朵酒店,"Mangonet Building, No. 3955 Baishi Road, Nanshan District, Shenzhen, Guangdong, China",停车场,30,深圳,Shenzhen,南山区,科技园 白石路3955号北门芒果网大厦,"{'type': 2, 'latitude': '22.523888', 'longitude': '113.935467'}",4.9,576,https://dimg04.c-ctrip.com/images/1mc6712000dgq6henF5A4_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距深大南地铁站步行320米,约5分钟'}]",684,雅致大床房
52768188,深圳宝安西乡亚朵酒店,AtourHotel Xixiang  Bao＇an Shenzhen,免费停车,30,深圳,Shenzhen,宝安区,宝安商业区 西乡街道盐田社区银田工业区侨鸿盛文化创意园综合楼A栋,"{'type': 2, 'latitude': '22.58681', 'longitude': '113.8608'}",4.8,2310,https://dimg04.c-ctrip.com/images/0205d120008a9xsf015A5_C_400_600_R5_Q70.jpg_.webp,近西乡地铁站 · 宝安商业区,"[{'type': '地铁', 'info': '距西乡地铁站-C口步行1.8公里,约26分钟'}]",458,雅致大床房-智能投屏
14154841,深圳南山科技园CitiGO欢阁酒店,CitiGO Shenzhen Nanshan Technology Park Hotel,充电桩,30,深圳,Shenzhen,南山区,科技园 海天一路软件产业园2栋A座,"{'type': 2, 'latitude': '22.524857', 'longitude': '113.936746'}",4.7,4561,https://dimg04.c-ctrip.com/images/020041200084ytvg1A2FE_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距深大南地铁站步行280米,约4分钟'}]",465,欢逸双床房
82636910,深圳前海宝安中心亚朵酒店,Atour Hotel(Shenzhen Qianhai Bao'an center),免费停车,30,深圳,Shenzhen,宝安区,宝安商业区 新安街道海富社区46区创业一路1089号,"{'type': 2, 'latitude': '22.560059', 'longitude': '113.892721'}",4.9,3052,https://dimg04.c-ctrip.com/images/0201z12000952jqjy0019_C_400_600_R5_Q70.jpg_.webp,近翻身地铁站 · 宝安商业区,"[{'type': '地铁', 'info': '距翻身地铁站-C口步行140米,约2分钟'}]",508,雅致房—静夜好眠
12135231,深圳T酒店公寓(南山科技园店),Shenzhen T Hotel Apartment ( Nanshan Science & Technology Park),厨房,30,深圳,Shenzhen,南山区,科技园 海天一路软件产业基地2A栋,"{'type': 2, 'latitude': '22.524625', 'longitude': '113.936903'}",4.7,6943,https://dimg04.c-ctrip.com/images/0203v120009ydckvb1901_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距深大南地铁站步行290米,约5分钟'}]",358,精致大床房
114405293,铂尔登美瑾酒店(深圳南山西丽地铁站店),Dalden Meijin Hotel,停车场,30,深圳,Shenzhen,南山区,大学城/西丽动物园 西丽街道新围社区留仙大道6008号鼎新大厦,"{'type': 2, 'latitude': '22.581022', 'longitude': '113.953854'}",4.5,437,https://dimg04.c-ctrip.com/images/1mc6m12000cw2i698FFBA_C_400_600_R5_Q70.jpg_.webp,近西丽地铁站 · 西丽/大学城,"[{'type': '地铁', 'info': '距西丽地铁站步行100米,约2分钟'}]",331,阳光全景大床房
1462776,丽呈東谷酒店(深圳华强北店),Rezen Dong Hotel (Shenzhen Huaqiangbei),免费停车,30,深圳,Shenzhen,福田区,华强北商业区 福虹路5号福华大厦,"{'type': 2, 'latitude': '22.538304', 'longitude': '114.083587'}",4.7,4960,https://dimg04.c-ctrip.com/images/1mc3312000dh5p3tpF45C_C_400_600_R5_Q70.jpg_.webp,近华强路地铁站 · 华强商圈,"[{'type': '地铁', 'info': '距华强路地铁站-C口步行220米,约4分钟'}]",420,高级双床房
15251482,深圳安蒂娅美兰酒店,ANTHEA HOTEL,泳池,30,深圳,Shenzhen,宝安区,宝安商业区 西乡街道水库路108号,"{'type': 2, 'latitude': '22.592481', 'longitude': '113.882845'}",4.7,1161,https://dimg04.c-ctrip.com/images/1mc1712000eqj4poo427C_C_400_600_R5_Q70.jpg_.webp,近宝安客运站 · 宝安商业区,"[{'type': '地铁', 'info': '距宝安客运站地铁站-B口步行390米,约6分钟'}]",598,优享双床房
67517919,深圳会展中心岗厦地铁站秋果酒店,"Qiuguo Hotel, Gangxia Subway Station, Shenzhen Convention and Exhibition Center",管家服务,30,深圳,Shenzhen,福田区,会展中心/CBD 彩田路3016号,"{'type': 2, 'latitude': '22.537511', 'longitude': '114.068481'}",4.7,4083,https://dimg04.c-ctrip.com/images/0204q120008dnrdb75C14_C_400_600_R5_Q70.jpg_.webp,近深圳会展中心（福田馆） · 会展中心/CBD,"[{'type': '地铁', 'info': '距岗厦地铁站步行300米,约5分钟'}]",489,影音大床房(全屋智能、手机投屏、百寸投影)
54499290,深圳南山万科云城亚朵酒店,Atour Hotel (Shenzhen Nanshan Vanke Yuncheng),免费停车,30,深圳,Shenzhen,南山区,大学城/西丽动物园 西丽街道西丽社区打石一路万科云城五期泊寓公寓1F、2F、20-37F,"{'type': 2, 'latitude': '22.573918', 'longitude': '113.94298'}",4.8,4313,https://dimg04.c-ctrip.com/images/20031b000001bofyk9CA7_C_400_600_R5_Q70.jpg_.webp,近留仙洞地铁站 · 西丽/大学城,"[{'type': '地铁', 'info': '距留仙洞地铁站-A口步行1公里,约16分钟'}]",544,高级大床房-人气热搜
116857658,深圳蛇口太子湾逸扉酒店,UrCove by HYATT Shenzhen Shekou Cruise Center,自营影音房,30,深圳,Shenzhen,南山区,深圳湾口岸/蛇口 汇海路41号领海大厦T4单元2层,"{'type': 2, 'latitude': '22.472324', 'longitude': '113.911549'}",4.8,500,https://dimg04.c-ctrip.com/images/1mc5u12000dceatkdFC5D_C_400_600_R5_Q70.jpg_.webp,近蛇口邮轮中心 · 深圳湾口岸/蛇口,"[{'type': '地铁', 'info': '距太子湾地铁站步行120米,约2分钟'}]",518,高级大床房（私人享Coffee机+小冰箱+智能语音）
58762437,宜尚PLUS酒店(深圳福田会展中心店),ECHARM PLUS Hotel (Shenzhen Futian Convention and Exhibition Center),免费停车,30,深圳,Shenzhen,福田区,会展中心/CBD 滨河大道5020号同心大厦 (南门),"{'type': 2, 'latitude': '22.529877', 'longitude': '114.070628'}",4.6,3676,https://dimg04.c-ctrip.com/images/0201w120008tmnn3m199F_C_400_600_R5_Q70.jpg_.webp,近深圳会展中心（福田馆） · 会展中心/CBD,"[{'type': '地铁', 'info': '距岗厦地铁站-E口步行530米,约8分钟'}]",429,舒适大床房（全屋智能+深度睡眠+静音舒睡床垫）
61616470,深圳滨河时代ICON LAB艾垦酒店,ICON LAB Hotel Shenzhen Futian,设计师酒店,30,深圳,Shenzhen,福田区,皇岗口岸/福田口岸 沙嘴路8号尚美.红树湾1号A栋1层,"{'type': 2, 'latitude': '22.520634', 'longitude': '114.036371'}",4.5,3815,https://dimg04.c-ctrip.com/images/0200r1200087tbkhf30B7_C_400_600_R5_Q70.jpg_.webp,近上沙地铁站 · 皇岗口岸/福田口岸,"[{'type': '地铁', 'info': '距上沙地铁站-C口步行510米,约8分钟'}]",569,绿景大床房
473037,深圳圣淘沙酒店(翡翠店),Sentosa Hotel (Feicui),泳池,30,深圳,Shenzhen,南山区,科技园 金鸡路1号 (地铁罗宝线桃园站B出口),"{'type': 2, 'latitude': '22.534123', 'longitude': '113.92392'}",4.6,2235,https://dimg04.c-ctrip.com/images/1mc1e12000eli9294F0EF_C_400_600_R5_Q70.jpg_.webp,近深圳大学(粤海校区) · 科技园,"[{'type': '地铁', 'info': '距桃园地铁站步行270米,约4分钟'}]",498,精品大床房
