,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,121013637,苏州东太湖智选假日酒店,Holiday Inn Express Suzhou East Taihu,窗外好景,14,苏州,Suzhou,吴江区,苏州湾/吴江东太湖风景区/王焰温泉 开平路2777号东楼,"{'type': 2, 'latitude': '31.135196', 'longitude': '120.609697'}",4.8,108,https://dimg04.c-ctrip.com/images/1mc2012000es0ppyf8E9E_C_400_600_R5_Q70.jpg_.webp,近苏州湾东地铁站 · 苏州湾/东太湖,"[{'type': '地铁', 'info': '距苏州湾东地铁站-4口步行760米,约11分钟'}]",446,高级房 超大床
1,2474660,苏州王府金科大酒店,Wangfu Jinke Grand Hotel,泳池,14,苏州,Suzhou,虎丘区,虎丘区苏州新区/寒山寺 滨河路1969号,"{'type': 2, 'latitude': '31.311184', 'longitude': '120.56302'}",4.7,3712,https://dimg04.c-ctrip.com/images/fd/hotel/g4/M04/2A/74/CggYHFYcrJyASSRAAAiClFR9Yow438_C_400_600_R5_Q70.jpg_.webp,近滨河路地铁站 · 虎丘区苏州新区/寒山寺,"[{'type': '地铁', 'info': '距滨河路地铁站-3口步行1.2公里,约17分钟'}]",475,高级大床房
2,80399009,金海华LOHAS 华屿东方酒店,LOHAS Boutique Hotel,桑拿,14,苏州,Suzhou,相城区,相城高铁新城开发区/苏州北站 东活力岛1号,"{'type': 2, 'latitude': '31.369784', 'longitude': '120.612686'}",4.8,754,https://dimg04.c-ctrip.com/images/0206i1200093uy174E14E_C_400_600_R5_Q70.jpg_.webp,近活力岛地铁站 · 相城高铁新城开发区/苏州北站,"[{'type': '地铁', 'info': '距活力岛地铁站-1口步行1.7公里,约25分钟'}]",537,悦屿精致大床房
3,384991,苏州新城花园丽呈华廷酒店,New City Grand Rezen Hotel,泳池,14,苏州,Suzhou,虎丘区,虎丘区苏州新区/寒山寺 狮山路1号,"{'type': 2, 'latitude': '31.29382', 'longitude': '120.571776'}",4.8,4794,https://dimg04.c-ctrip.com/images/200b190000016tn9h3302_C_400_600_R5_Q70.jpg_.webp,近淮海街 · 虎丘区苏州新区/寒山寺,"[{'type': '地铁', 'info': '距沙金桥地铁站步行770米,约11分钟'}]",612,古运河豪华双床房
4,425841,苏州平江华府酒店,Hovle Mansion Club & Hotel,管家服务,14,苏州,Suzhou,姑苏区,观前街/平江路/十全街/市中心 临顿路菉葭巷88号,"{'type': 2, 'latitude': '31.315502', 'longitude': '120.632191'}",4.7,1215,https://dimg04.c-ctrip.com/images/1mc0512000apvz38vEC19_C_400_600_R5_Q70.jpg_.webp,近平江路历史街区 · 观前街/平江路/十全街/市中心,"[{'type': '地铁', 'info': '距悬桥巷地铁站-2口步行280米,约4分钟'}]",657,舒适双床房
5,36478124,嘉宝酒店(苏州观前街十全街店),Garbo Hotel (Suzhou Guanqian Street Shiquan Street Branch),免费停车,14,苏州,Suzhou,姑苏区,盘门风景区/汽车南站地区 沧浪街道南园北路77号,"{'type': 2, 'latitude': '31.292336', 'longitude': '120.635666'}",4.7,5709,https://dimg04.c-ctrip.com/images/1mc3y12000c6z64l9E1F8_C_400_600_R5_Q70.jpg_.webp,近南园北路地铁站 · 苏州汽车南站,"[{'type': '地铁', 'info': '距南园北路地铁站步行130米,约2分钟'}]",277,躺平治愈大床房（小冰箱+全屋声控+投屏电视）
6,37468009,苏州金鸡湖希尔顿欢朋酒店,Hampton by Hilton Suzhou Jinji Lake,免费停车,14,苏州,Suzhou,苏州工业园区,工业园区金鸡湖西/苏州中心 工业园区东环路88号,"{'type': 2, 'latitude': '31.317061', 'longitude': '120.64897'}",4.7,7603,https://dimg04.c-ctrip.com/images/200e14000000wpmp8DED1_C_400_600_R5_Q70.jpg_.webp,近平江路历史街区 · 金鸡湖西,"[{'type': '地铁', 'info': '距东环路地铁站-3b口步行490米,约7分钟'}]",538,舒适大床房
7,1071402,张家港中油泰富国际酒店,Taifu International Hotel,桑拿,621,张家港,Zhangjiagang,,张家港市区 华昌南路9号,"{'type': 2, 'latitude': '31.848229', 'longitude': '120.562624'}",4.8,4443,https://dimg04.c-ctrip.com/images/200f14000000wzw02625B_C_400_600_R5_Q70.jpg_.webp,张家港 · 近曼巴特购物广场 · 张家港市区,"[{'type': '火车站', 'info': '距张家港站驾车18.4公里,约27分钟'}]",371,豪华大床房
8,1195717,苏州金鸡湖馨乐庭公寓酒店,Citadines Suzhou Jinji Lake,泳池,14,苏州,Suzhou,苏州工业园区,工业园区金鸡湖西/苏州中心 中新大道西229号,"{'type': 2, 'latitude': '31.304919', 'longitude': '120.652643'}",4.6,1551,https://dimg04.c-ctrip.com/images/1mc5612000bbuhwa7DB6F_C_400_600_R5_Q70.jpg_.webp,近苏州大学(东校区) · 金鸡湖西,"[{'type': '地铁', 'info': '距徐家浜地铁站-2口步行<100米,约1分钟'}]",458,一房豪华套房
9,20058604,苏州吴中希尔顿欢朋酒店,Hampton by Hilton Hotel Wuzhong Suzhou,免费停车,14,苏州,Suzhou,吴中区,盘门风景区/汽车南站地区 迎春路38号,"{'type': 2, 'latitude': '31.266496', 'longitude': '120.640027'}",4.9,12930,https://dimg04.c-ctrip.com/images/0201q120008pserpd1E11_C_400_600_R5_Q70.jpg_.webp,近迎春路地铁站 · 苏州汽车南站,"[{'type': '地铁', 'info': '距迎春路地铁站-1口步行110米,约2分钟'}]",498,高级双床房
10,109494541,米优家度假院落,Miyoujia Holiday Home,日光浴场,83,昆山,Kunshan,,锦溪古镇区 锦溪镇计家墩001号,"{'type': 2, 'latitude': '31.15216', 'longitude': '120.920992'}",4.8,88,https://dimg04.c-ctrip.com/images/1mc0s12000dr45z8tFF9A_C_400_600_R5_Q70.jpg_.webp,昆山 · 近乡伴计家墩 · 锦溪古镇,"[{'type': '火车站', 'info': '距昆山南站驾车27.4公里,约45分钟'}]",580,码头景观大床房[临水赏星-饮茶观月]
