,hotelId,hotelName,hotelName_EN,featureHotelType,poi_cityId,poi_cityName,poi_cityName_EN,poi_zoneName,poi_position,poi_coordinate,commentScore,commentNumber,hotelImage,positionInfo,transportInfo,miniPrice,miniPriceRoom
0,84853516,臻程酒店(武汉汉阳江滩国博店),Yucheng Hotel (Wuhan Hanyang Jiangtan Guobo),免费停车,477,武汉,Wuhan,汉阳区,武汉国际博览中心/王家湾 杨泗街246号世茂锦绣长江六期W+商业2栋2单元,"{'type': 2, 'latitude': '30.533848', 'longitude': '114.271243'}",4.8,3431,https://dimg04.c-ctrip.com/images/0206f12000axqwtt150C4_C_400_600_R5_Q70.jpg_.webp,近马鹦路地铁站 · 国博/王家湾,"[{'type': '地铁', 'info': '距马鹦路地铁站-A口步行920米,约14分钟'}]",308,梅·城景大床房(金可儿床垫+全屋声控)
1,77236762,武汉江滩好百年美仑国际酒店,Grand Madison Wuhan Hankou on the Bund,江河景房,477,武汉,Wuhan,江岸区,江汉路/汉口江滩 沿江大道131号,"{'type': 2, 'latitude': '30.57657', 'longitude': '114.297248'}",4.8,3463,https://dimg04.c-ctrip.com/images/0204y120008qp73zgBFCB_C_400_600_R5_Q70.jpg_.webp,近江汉路步行街 · 江汉路,"[{'type': '地铁', 'info': '距江汉路地铁站步行580米,约9分钟'}]",499,高级大床房「民国建筑/复古情怀」
2,70972859,武汉汉口温德姆花园酒店,Wyndham Garden Wuhan Hankou,免费停车,477,武汉,Wuhan,江汉区,汉口火车站/泛海CBD/园博园 发展大道常青路79号,"{'type': 2, 'latitude': '30.613822', 'longitude': '114.247295'}",4.8,5983,https://dimg04.c-ctrip.com/images/0200u1200094jo23h390E_C_400_600_R5_Q70.jpg_.webp,近汉口火车站 · 汉口站/泛海CBD/园博园,"[{'type': '地铁', 'info': '距汉口火车站地铁站-出口步行970米,约14分钟'}]",498,高级大床房
3,1270942,武汉会议中心,Wuhan Conference Center,免费停车,477,武汉,Wuhan,江岸区,万象城/中山公园 惠济路38号,"{'type': 2, 'latitude': '30.612458', 'longitude': '114.29597'}",4.8,972,https://dimg04.c-ctrip.com/images/0206d120009xa3vho73E9_C_400_600_R5_Q70.jpg_.webp,近解放公园 · 万象城/中山公园,"[{'type': '地铁', 'info': '距赵家条地铁站-G口步行670米,约10分钟'}]",518,心悦大床房
4,65810467,武汉江滩世茂凡象酒店,Ethos Hotel Wuhan Riverside,免费停车,477,武汉,Wuhan,江岸区,江汉路/汉口江滩 黎黄陂路1号,"{'type': 2, 'latitude': '30.586202', 'longitude': '114.302012'}",4.6,4864,https://dimg04.c-ctrip.com/images/020501200086zlm9j7227_C_400_600_R5_Q70.jpg_.webp,近汉口江滩 · 江汉路,"[{'type': '地铁', 'info': '距大智路地铁站-F口步行1.2公里,约17分钟'}]",471,凡象大床房
5,2046186,武汉万科瞻云酒店,The Yun Hotel Hankou,泳池,477,武汉,Wuhan,江汉区,汉口火车站/泛海CBD/园博园 常青路177号 (常青立交桥下桥处),"{'type': 2, 'latitude': '30.626677', 'longitude': '114.23768'}",4.8,3680,https://dimg04.c-ctrip.com/images/1mc6q12000b2jy2ix94F5_C_400_600_R5_Q70.jpg_.webp,近长港路地铁站 · 汉口站/泛海CBD/园博园,"[{'type': '地铁', 'info': '距长港路地铁站-J口步行1.3公里,约18分钟'}]",469,豪华大床房
6,37176207,水云岚酒店(武汉江汉路步行街店),Shuiyunlan Hotel,机器人服务,477,武汉,Wuhan,江汉区,江汉路/汉口江滩 江汉二路银海商务大厦A栋1-16层,"{'type': 2, 'latitude': '30.580917', 'longitude': '114.288128'}",4.8,15875,https://dimg04.c-ctrip.com/images/200p160000010k36aD24C_C_400_600_R5_Q70.jpg_.webp,近江汉路步行街 · 江汉路,"[{'type': '地铁', 'info': '距江汉路地铁站-G口步行410米,约6分钟'}]",361,岚夕雅致大床房-记忆床垫+mini冰箱+无线投屏
7,99890818,武汉中交五洲皇冠酒店,V-Continent WuHan Hotel,行政酒廊,477,武汉,Wuhan,汉阳区,沌口/武汉体育中心/江汉大学 春晓路华中·中交城A区B栋,"{'type': 2, 'latitude': '30.505159', 'longitude': '114.202726'}",4.8,909,https://dimg04.c-ctrip.com/images/0203n12000a0ncwwg126B_C_400_600_R5_Q70.jpg_.webp,近永旺梦乐城(武汉经开店) · 沌口/体育中心,"[{'type': '地铁', 'info': '距江城大道地铁站步行810米,约12分钟'}]",410,舒适双床房
8,607185,武汉洪山宾馆,Hongshan Hotel,泳池,477,武汉,Wuhan,武昌区,楚河汉街/东湖风景区/省博物馆 中北路1号,"{'type': 2, 'latitude': '30.54656', 'longitude': '114.336871'}",4.7,1480,https://dimg04.c-ctrip.com/images/1mc6912000es9umc185FB_C_400_600_R5_Q70.jpg_.webp,近洪山广场 · 汉街/东湖,"[{'type': '地铁', 'info': '距洪山广场地铁站-D2口步行<100米,约2分钟'}]",496,标准双床房
9,66669142,开元大酒店(武汉高铁站欢乐谷店),"New Century Hotel (Wuhan High-speed Railway Station, Happy Valley)",管家服务,477,武汉,Wuhan,青山区,武汉火车站/欢乐谷/青山工业区 冶金大道与工业一路交汇处铁投江南御景1-14层,"{'type': 2, 'latitude': '30.630145', 'longitude': '114.391357'}",4.8,5670,https://dimg04.c-ctrip.com/images/0203o120008g80d3y4090_C_400_600_R5_Q70.jpg_.webp,近武汉青山印象城 · 武汉站商圈,"[{'type': '地铁', 'info': '距和平公园地铁站-B口步行520米,约8分钟'}]",439,高级双床房-慕思床垫-坐卧沙发
