name,id,type,address,rating,price,ood_type,open_time,indoor,latitude,longitude,phone,photos,city
钱江世纪公园,B0FFHJTKKP,风景名胜;公园广场;公园,观澜路1号,,,,,,30.241346,120.233607,,"['http://aos-cdn-image.amap.com/sns/ugccomment/59beb1e9-9cda-4cd4-8c44-d3b51d9aff36.jpg', 'https://aos-comment.amap.com/B0FFHJTKKP/comment/e4e34388b43955fb1af8a37d09c681f8_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0FFHJTKKP/comment/faef38a93c70e9aeda3ee71bd7f186b3_2048_2048_80.jpg']",杭州
清河坊历史文化特色街区,B023B07SJZ,风景名胜;风景名胜;国家级景点,河坊街180号,,,,,,30.239827,120.169899,,"['http://store.is.autonavi.com/showpic/e7a956f2beba64afa31364a6858dac82', 'http://store.is.autonavi.com/showpic/fc632a87a09703d2de4492829fbbc3b5', 'http://store.is.autonavi.com/showpic/dd9e27c45d8b1904a4ab57989a34cf0a']",杭州
五柳巷历史街区,B0FFFA3PD5,风景名胜;风景名胜;风景名胜,小营街道斗富二桥西河下9号附近,,,,,,30.242162,120.176615,,"['http://store.is.autonavi.com/showpic/86a18cfb032e58530262ce8824bb98f7', 'https://aos-comment.amap.com/B0FFFA3PD5/comment/ceb1d43e52ff743e21c55ee90551ab90_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0FFFA3PD5/comment/a53fdf97f5110daf4f0568fd2d6181c2_2048_2048_80.jpg']",杭州
钱江新城灯光秀,B0FFHKQ7F5,风景名胜;风景名胜;风景名胜,新业路39号(市民中心地铁站M1口或N2口),,,,,,30.244481,120.215428,,"['http://aos-cdn-image.amap.com/sns/ugccomment/c5141729-8737-49ff-92e2-4ad9fdc0669d.jpg', 'https://aos-comment.amap.com/B0FFHKQ7F5/comment/content_media_external_images_media_1000052455_ss__1732426004082_33626021.jpg', 'https://aos-comment.amap.com/B0FFHKQ7F5/comment/1e943e58801cb5e2726d7214c327df3d_2048_2048_80.jpg']",杭州
CBD公园,B023B0BIO8,风景名胜;公园广场;公园,五星路181号,,,,,,30.237933,120.212285,,"['https://aos-comment.amap.com/B023B0BIO8/comment/a00a992950612935fd15c5ce31af9d39_2048_2048_80.jpg', 'https://aos-comment.amap.com/B023B0BIO8/comment/979d20a2ad7f6423f6cd9c9f3f463c73_2048_2048_80.jpg', 'https://aos-comment.amap.com/B023B0BIO8/comment/47710da4752f70c5a995d810ebdc124a_2048_2048_80.jpg']",杭州
杭州西湖风景名胜区-断桥残雪,B023B01EE6,风景名胜;风景名胜;国家级景点,龙井路1号杭州西湖风景名胜区内(东北角),,,,,,30.258106,120.151299,,"['http://store.is.autonavi.com/showpic/291127f3f2d2ceba0de575038ad6c885', 'http://aos-cdn-image.amap.com/sns/ugccomment/a1f6ed63-cdf2-4382-99a1-d8719297db86.jpg', 'http://aos-cdn-image.amap.com/sns/ugccomment/a514e32c-fc37-4cce-9506-7b828165a166.jpg']",杭州
杭州博物馆,B0FFFWQGI8,科教文化服务;博物馆;博物馆,粮道山18号,,,,,,30.239091,120.166525,,"['http://store.is.autonavi.com/showpic/0e1b38f070c1fcfc580cf7c150ff6db9', 'http://store.is.autonavi.com/showpic/d285c6541dee192598c1b59033df67d9', 'http://store.is.autonavi.com/showpic/69f071868b115ba550d370d8f4481e0d']",杭州
吴山景区,B023B17WXC,风景名胜;风景名胜;风景名胜,清波街道吴山广场2号杭州吴山艺术团附近,,,,,,30.23412,120.165134,,"['http://store.is.autonavi.com/showpic/9be47b84fb5dd43bfb4f3238cea21871', 'http://store.is.autonavi.com/showpic/09994ee5f41df9880b2ce2f9c0406dad', 'http://store.is.autonavi.com/showpic/a01274740faa41c58731620f68468364']",杭州
胡雪岩故居,B023B0284D,风景名胜;风景名胜;纪念馆,元宝街18号,,,,,,30.237273,120.172906,,"['http://store.is.autonavi.com/showpic/b326d6f2fc14213945e5925cbe65491d', 'http://aos-cdn-image.amap.com/sns/ugccomment/5ef7df70-b49e-47d8-9507-12f5ac4d50c5.JPG', 'http://store.is.autonavi.com/showpic/94adba298a0358aafb5f0b94799429eb']",杭州
杭州西湖风景名胜区,B023B13L9M,风景名胜;风景名胜;国家级景点,西湖街道龙井路1号,,,,,,30.222724,120.121288,,"['http://store.is.autonavi.com/showpic/046f7db069e380fdc29375807debee83', 'http://store.is.autonavi.com/showpic/28440e82934e69436f458b567d35fcb5', 'http://store.is.autonavi.com/showpic/34915fc5cba49b64710e028aa3811753']",杭州
