name,id,type,address,rating,price,ood_type,open_time,indoor,latitude,longitude,phone,photos,city
钱江世纪公园,B0FFHJTKKP,风景名胜;公园广场;公园,观澜路1号,4.8,,"蛋仔,烤肉,元宵",,0,30.241346,120.233607,17331783745,"['http://aos-cdn-image.amap.com/sns/ugccomment/59beb1e9-9cda-4cd4-8c44-d3b51d9aff36.jpg', 'https://aos-comment.amap.com/B0FFHJTKKP/comment/e4e34388b43955fb1af8a37d09c681f8_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0FFHJTKKP/comment/faef38a93c70e9aeda3ee71bd7f186b3_2048_2048_80.jpg']",杭州
清河坊历史文化特色街区,B023B07SJZ,风景名胜;风景名胜;国家级景点,河坊街180号,4.4,0.00,"牛肉饼,葱包烩,条头糕,杭州小吃,蟹黄汤包,蟹黄面,小吃街,特色小吃,江南小吃,绿豆糕,定胜糕,臭豆腐,火腿",周一至周日 00:00-24:00,0,30.239827,120.169899,0571-87822494;12301,"['http://store.is.autonavi.com/showpic/e7a956f2beba64afa31364a6858dac82', 'http://store.is.autonavi.com/showpic/fc632a87a09703d2de4492829fbbc3b5', 'http://store.is.autonavi.com/showpic/dd9e27c45d8b1904a4ab57989a34cf0a']",杭州
五柳巷历史街区,B0FFFA3PD5,风景名胜;风景名胜;风景名胜,小营街道斗富二桥西河下9号附近,4.6,,,周一至周日 00:00-24:00,0,30.242162,120.176615,,"['http://store.is.autonavi.com/showpic/86a18cfb032e58530262ce8824bb98f7', 'https://aos-comment.amap.com/B0FFFA3PD5/comment/ceb1d43e52ff743e21c55ee90551ab90_2048_2048_80.jpg', 'https://aos-comment.amap.com/B0FFFA3PD5/comment/a53fdf97f5110daf4f0568fd2d6181c2_2048_2048_80.jpg']",杭州
钱江新城灯光秀,B0FFHKQ7F5,风景名胜;风景名胜;风景名胜,新业路39号(市民中心地铁站M1口或N2口),4.6,65.00,,18:30开放,0,30.244481,120.215428,,"['http://aos-cdn-image.amap.com/sns/ugccomment/c5141729-8737-49ff-92e2-4ad9fdc0669d.jpg', 'https://aos-comment.amap.com/B0FFHKQ7F5/comment/content_media_external_images_media_1000052455_ss__1732426004082_33626021.jpg', 'https://aos-comment.amap.com/B0FFHKQ7F5/comment/1e943e58801cb5e2726d7214c327df3d_2048_2048_80.jpg']",杭州
杭州西湖风景名胜区-断桥残雪,B023B01EE6,风景名胜;风景名胜;国家级景点,龙井路1号杭州西湖风景名胜区内(东北角),4.8,0.00,"东坡肉,小吃街,西湖醋鱼,红叶,臭豆腐,杭州小吃,龙井虾仁",周一至周日 00:00-24:00,0,30.258106,120.151299,0571-87179539,"['http://store.is.autonavi.com/showpic/291127f3f2d2ceba0de575038ad6c885', 'http://aos-cdn-image.amap.com/sns/ugccomment/a1f6ed63-cdf2-4382-99a1-d8719297db86.jpg', 'http://aos-cdn-image.amap.com/sns/ugccomment/a514e32c-fc37-4cce-9506-7b828165a166.jpg']",杭州
胡雪岩故居,B023B0284D,风景名胜;风景名胜;纪念馆,元宝街18号,4.8,20.00,,4月1日-10月31日:08:00-17:00；11月1日-3月31日:8:00-16:30,0,30.237273,120.172906,0571-86821131,"['http://store.is.autonavi.com/showpic/b326d6f2fc14213945e5925cbe65491d', 'http://aos-cdn-image.amap.com/sns/ugccomment/5ef7df70-b49e-47d8-9507-12f5ac4d50c5.JPG', 'http://store.is.autonavi.com/showpic/94adba298a0358aafb5f0b94799429eb']",杭州
CBD公园,B023B0BIO8,风景名胜;公园广场;公园,五星路181号,4.6,,,周一至周日 00:00-24:00,0,30.237933,120.212285,,"['https://aos-comment.amap.com/B023B0BIO8/comment/a00a992950612935fd15c5ce31af9d39_2048_2048_80.jpg', 'https://aos-comment.amap.com/B023B0BIO8/comment/979d20a2ad7f6423f6cd9c9f3f463c73_2048_2048_80.jpg', 'https://aos-comment.amap.com/B023B0BIO8/comment/47710da4752f70c5a995d810ebdc124a_2048_2048_80.jpg']",杭州
杭州博物馆,B0FFFWQGI8,科教文化服务;博物馆;博物馆,粮道山18号,4.8,0.00,臭豆腐,"周一,周三至周日 09:00-16:30 最晚进入16:00；周二 全天关闭",0,30.239091,120.166525,0571-87555637,"['http://store.is.autonavi.com/showpic/0e1b38f070c1fcfc580cf7c150ff6db9', 'http://store.is.autonavi.com/showpic/d285c6541dee192598c1b59033df67d9', 'http://store.is.autonavi.com/showpic/69f071868b115ba550d370d8f4481e0d']",杭州
吴山景区,B023B17WXC,风景名胜;风景名胜;风景名胜,清波街道吴山广场2号杭州吴山艺术团附近,4.8,,鸽子,周一至周日 07:30-18:00,0,30.23412,120.165134,0571-87035091,"['http://store.is.autonavi.com/showpic/9be47b84fb5dd43bfb4f3238cea21871', 'http://store.is.autonavi.com/showpic/09994ee5f41df9880b2ce2f9c0406dad', 'http://store.is.autonavi.com/showpic/a01274740faa41c58731620f68468364']",杭州
杭州西湖风景名胜区,B023B13L9M,风景名胜;风景名胜;国家级景点,西湖街道龙井路1号,4.9,0.00,"东坡肉,面面,龙井虾仁,西湖醋鱼,特色小吃,鸽子,红叶",周一至周日 00:00-24:00,0,30.222724,120.121288,0571-87179617,"['http://store.is.autonavi.com/showpic/046f7db069e380fdc29375807debee83', 'http://store.is.autonavi.com/showpic/28440e82934e69436f458b567d35fcb5', 'http://store.is.autonavi.com/showpic/34915fc5cba49b64710e028aa3811753']",杭州
湖滨步行街,B0FFL9RQ5O,购物服务;特色商业街;步行街,凤起路539-4号(龙翔桥地铁站C口步行120米),4.8,,"鸽子,特色小吃,小吃街,臭豆腐",周一至周日 10:00-22:00,0,30.254158,120.162923,0571-88161688,"['http://store.is.autonavi.com/showpic/38ed16d8a03d858a053ee774766900c1', 'https://aos-comment.amap.com/B0FFL9RQ5O/comment/3a9b56b7b6e5bd36d77457ecd14c6eac_2048_2048_80.jpg', 'http://store.is.autonavi.com/showpic/93a18f2d6539dc4bae98463a506e43a6']",杭州
杭州基督教会崇一堂,B023B065OH,风景名胜;风景名胜;教堂,新塘路26号(近庆春广场),4.8,,,周一至周日 09:00-17:00,0,30.259353,120.208778,0571-86961163,"['http://store.is.autonavi.com/showpic/a1e5c5393aac49b86aa10948b299c766', 'http://store.is.autonavi.com/showpic/0c59263b94b270f1dd82d2123012ecbd', 'http://store.is.autonavi.com/showpic/2ac38f04c46cff9dc40b48c6ecf631ef']",杭州
雷峰塔景区,B023B09LKR,风景名胜;风景名胜;国家级景点,南山路15号,4.8,40.00,"红叶,西湖醋鱼,龙井虾仁,湖南面,素食",周一至周日 08:00-18:00,0,30.230934,120.148849,0571-87982111,"['http://store.is.autonavi.com/showpic/58fbc3bf5460862ef2056ae1aa053754', 'http://store.is.autonavi.com/showpic/df5fc383b00d7a4ac2948df8abbb9094', 'http://store.is.autonavi.com/showpic/066347d344b0cb6c8c5e305627524037']",杭州
杭州西湖风景名胜区-湖滨公园,B023B05MLT,风景名胜;公园广场;公园,龙井路1号杭州西湖风景名胜区内(东北角),4.9,,,周一至周日 00:00-24:00,0,30.256583,120.158818,0571-87179539,"['https://store.is.autonavi.com/showpic/04A76AB46308410FBDAF3C8577E67275', 'http://store.is.autonavi.com/showpic/b16eef9ee2b70e46b4aaf314ee111a47', 'http://store.is.autonavi.com/showpic/c2e01bcb710be83244954c6a0f3b2bea']",杭州
鼓楼,B023B015D8,风景名胜;风景名胜;风景名胜,中山南路501号(近十五奎巷),4.7,,,周一至周日 09:00-21:00 最晚进入21:00；具体营业状态以当天开放情况为准,0,30.237994,120.171386,,"['http://store.is.autonavi.com/showpic/b29ed6b0ca70505ed3d5b78283f17244', 'http://store.is.autonavi.com/showpic/0467f89aac289ab0e12d329224f8d6c0', 'http://store.is.autonavi.com/showpic/d9262bc06a266796280a30cfd0ac5cea']",杭州
西湖-景区音乐喷泉,B0FFG977HY,风景名胜;风景名胜;国家级景点,杭州西湖风景名胜区内(龙翔桥地铁站C口步行230米),4.7,,"西湖醋鱼,龙井虾仁",周一至周日 19:30-19:50,0,30.253911,120.161115,0571-87179619,"['http://store.is.autonavi.com/showpic/e535f5650de18a824a7fca865d0f66d3', 'http://store.is.autonavi.com/showpic/d569ad484bb379dac3010b7736c8c3d5', 'http://store.is.autonavi.com/showpic/98888dc4de1de130e7c1f113ae257cd4']",杭州
江和美海洋公园,B0FFH0LYNK,风景名胜;公园广场;公园广场,钱江路599号(三堡地铁站B1口旁),4.5,80.00,"爆米花,热带鱼,面鱼","01/01-06/27 09:30-17:30开放；06/28-08/31 周一-周四, 周日 09:30-17:30开放；06/28-08/31 周五-周六 09:30-20:00开放；09/01-12/31 09:30-17:30开放",0,30.268541,120.227506,0571-86797209;0571-86968209;0571-87679888,"['http://store.is.autonavi.com/showpic/10ee68fa08660d93523809d274559fb2', 'http://store.is.autonavi.com/showpic/3c80f6efa97e76fb7cb36aa489c4ec4c?operate=original&query_type=oss&operate_gif=1', 'https://aos-comment.amap.com/B0FFH0LYNK/comment/content_media_external_file_8018_1745853671118_53020238.jpg']",杭州
西湖文化广场,B023B0BIT8,风景名胜;公园广场;城市广场,环城北路47号,4.8,,,周一至周日 00:00-24:00,0,30.276652,120.163755,,"['http://store.is.autonavi.com/showpic/a92803e8906575768c2436d05ae704ab', 'http://aos-cdn-image.amap.com/sns/ugccomment/e3dbdc0a-c31b-404f-aab5-43788f9d10e2.jpg', 'http://store.is.autonavi.com/showpic/7a739c6e0826173f21aaaef0bec713c7']",杭州
