name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
Zsmart智尚酒店(杭州万达广场汽车城店),B0FFKKJSB3,住宿服务;宾馆酒店;宾馆酒店,广丰街101号宜家时代大厦1幢,,,,30.321792,120.117598,,"['http://store.is.autonavi.com/showpic/cca4a4c6863b3491606f97b28a41fa01', 'http://store.is.autonavi.com/showpic/bf02fbc3001098c95ec534c95d53c840', 'http://store.is.autonavi.com/showpic/679fc042de0429f665b21eb25e89af02']",杭州
布丁酒店(杭州转塘音乐学院象山美院店),B0FFG8VM7O,住宿服务;宾馆酒店;经济型连锁酒店,转塘镇象山364号1幢1单元,,,,30.148874,120.079318,,"['http://store.is.autonavi.com/showpic/dfab0efe28ebb11960eea7f270155c55', 'http://store.is.autonavi.com/showpic/d4f0dc0f17b712166d3e08c1388e4802', 'http://store.is.autonavi.com/showpic/e76b63be532a4b38dd49a12fb2b8ee14']",杭州
富景商务酒店,B023B19BVD,住宿服务;宾馆酒店;宾馆酒店,分水镇玉华路199号,,,,29.929195,119.436323,,"['http://store.is.autonavi.com/showpic/4e472716d1ad7912b8851633401c58c2', 'http://store.is.autonavi.com/showpic/c9b6e3240e9f7e538e018c4b197eb319', 'http://store.is.autonavi.com/showpic/ff16c540011dbe746300bf4542c57b49']",杭州
雅舍精品酒店,B023B19BR4,住宿服务;宾馆酒店;宾馆酒店,义蓬街道义隆桥北(近义蓬购物广场),,,,30.266611,120.494804,,"['http://store.is.autonavi.com/showpic/2a712834b13f843849dfe3105fe6de8c', 'http://store.is.autonavi.com/showpic/8291fa20eaf8a1a55ecec89b13630b40', 'http://store.is.autonavi.com/showpic/e7629958044f4af02ec6f31eaa788a1e']",杭州
杭州胜梦精品酒店,B0FFHXZAJ6,住宿服务;宾馆酒店;宾馆酒店,6号大街精欧荣寓3幢,,,,30.302991,120.351414,,"['http://store.is.autonavi.com/showpic/9cfb55cc25f0644d20ba6c25eb3e9c88', 'http://store.is.autonavi.com/showpic/b239bbc3bd8180b413716c89e1e4a912', 'http://store.is.autonavi.com/showpic/402f2004ff4be0c2157a1f9dc451bd39']",杭州
如家酒店(杭州萧山国际机场店),B0FFGF1TTP,住宿服务;宾馆酒店;经济型连锁酒店,红山农场红山大道55号,,,,30.231889,120.39961,,"['http://store.is.autonavi.com/showpic/58343446a88a218aefb32de25362ff55', 'http://store.is.autonavi.com/showpic/861b0aac7bec4bbc028fa6290a36a44a', 'http://store.is.autonavi.com/showpic/b20f6baacb957bba841ae53272577dc1']",杭州
7天连锁酒店(杭州汽车北站万达广场店),B023B149YA,住宿服务;宾馆酒店;经济型连锁酒店,花园岗街209号(广丰路与崇海路的交叉口),,,,30.321449,120.119035,,"['http://store.is.autonavi.com/showpic/f2dd31730e9e1058bb942ca560c2ed33', 'http://store.is.autonavi.com/showpic/4e459e42bb911ad5260a90723d8396c6', 'http://store.is.autonavi.com/showpic/b42f8544e849abb488b86dfc0b89837d']",杭州
杭州呀诺达酒店(杭州下沙传媒学院店),B0FFK0S489,住宿服务;宾馆酒店;宾馆酒店,元成路9号,,,,30.325512,120.343978,,"['http://store.is.autonavi.com/showpic/11aba6d3e3b9aeeb80a53e9acb72caf2', 'http://store.is.autonavi.com/showpic/ef6255a63d313d3041954100ed507973', 'http://store.is.autonavi.com/showpic/4abad7180ea3b9d30122ed62bf071bc0']",杭州
布丁酒店(拱宸桥东地铁站杭州师范大学附属医院店),B0FFGUEC5X,住宿服务;宾馆酒店;经济型连锁酒店,拱宸桥普金家园11-8号,,,,30.320544,120.143684,,"['http://store.is.autonavi.com/showpic/4bd0daf88783570e0d27cfcc1403d6b1', 'http://store.is.autonavi.com/showpic/6965e464f0058fc7cad51e292f588ea8', 'http://store.is.autonavi.com/showpic/cd9b8c8098d4cad281c2f49f31f1f7ac']",杭州
杭州尚城快捷酒店,B023B1D22V,住宿服务;宾馆酒店;宾馆酒店,贺田尚城45号(杭二中后面),,,,30.180568,120.134923,,"['http://store.is.autonavi.com/showpic/25722cca8fd5527fbbd1d60bd195baee', 'http://store.is.autonavi.com/showpic/866d4926cec6a9f08fd6b53181d150da', 'http://store.is.autonavi.com/showpic/2f2b22795d6914b9464eb03600d671ae']",杭州
