name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
Zsmart智尚酒店(杭州万达广场汽车城店),B0FFKKJSB3,住宿服务;宾馆酒店;宾馆酒店,广丰街101号宜家时代大厦1幢,4.8,,,30.321792,120.117598,0571-87676707,"['http://store.is.autonavi.com/showpic/cca4a4c6863b3491606f97b28a41fa01', 'http://store.is.autonavi.com/showpic/bf02fbc3001098c95ec534c95d53c840', 'http://store.is.autonavi.com/showpic/679fc042de0429f665b21eb25e89af02']",杭州
泰至宾馆(杭州桂花西路地铁站店),B023B14SA7,住宿服务;宾馆酒店;宾馆酒店,富春街道春秋北路39-1号,4.1,,,30.050746,119.944413,0571-63328886,"['http://store.is.autonavi.com/showpic/55ad0c6dddf59506fd597f16227584dd', 'http://store.is.autonavi.com/showpic/c539b74fb76dd74ece09872f2d9b4c59', 'http://store.is.autonavi.com/showpic/d528555fa3fe4a37d81d411bf591e4e2']",杭州
富景商务酒店,B023B19BVD,住宿服务;宾馆酒店;宾馆酒店,分水镇玉华路199号,4.7,,,29.929195,119.436323,0571-64312288,"['http://store.is.autonavi.com/showpic/4e472716d1ad7912b8851633401c58c2', 'http://store.is.autonavi.com/showpic/c9b6e3240e9f7e538e018c4b197eb319', 'http://store.is.autonavi.com/showpic/ff16c540011dbe746300bf4542c57b49']",杭州
杭州欧帆酒店(杭州奥体博览中心店),B0FFHOHAHY,住宿服务;宾馆酒店;宾馆酒店,飞虹路1878号(飞虹路地铁站D口步行260米),4.1,,,30.229142,120.262827,0571-82515262,"['http://store.is.autonavi.com/showpic/2ef45d0e3de132f115f3407da9e4c11f', 'http://store.is.autonavi.com/showpic/f01ee8b4df87d496f747dabefa54e4a7', 'http://store.is.autonavi.com/showpic/b21fcd1ff53650c2c31ad1f55e451905']",杭州
雅舍精品酒店,B023B19BR4,住宿服务;宾馆酒店;宾馆酒店,义蓬街道义隆桥北(近义蓬购物广场),4.4,,,30.266611,120.494804,0571-82135000,"['http://store.is.autonavi.com/showpic/2a712834b13f843849dfe3105fe6de8c', 'http://store.is.autonavi.com/showpic/8291fa20eaf8a1a55ecec89b13630b40', 'http://store.is.autonavi.com/showpic/e7629958044f4af02ec6f31eaa788a1e']",杭州
布丁酒店(杭州转塘音乐学院象山美院店),B0FFG8VM7O,住宿服务;宾馆酒店;经济型连锁酒店,转塘镇象山路364号1幢1单元,4.3,,,30.148874,120.079318,0571-28250099;0571-28258696,"['http://store.is.autonavi.com/showpic/dfab0efe28ebb11960eea7f270155c55', 'http://store.is.autonavi.com/showpic/d4f0dc0f17b712166d3e08c1388e4802', 'http://store.is.autonavi.com/showpic/e76b63be532a4b38dd49a12fb2b8ee14']",杭州
布丁严选酒店(杭州河坊街城站地铁站店),B023B0BCLY,住宿服务;宾馆酒店;经济型连锁酒店,河坊街18号(江城路地铁站C1口步行60米),4.0,,小吃街,30.239025,120.177447,0571-87167658,"['http://store.is.autonavi.com/showpic/2056e7c33a1b1f1635f0602596311d94', 'http://store.is.autonavi.com/showpic/98d742859c24f82acc1f7e2346873fdd', 'http://store.is.autonavi.com/showpic/2d9fc35437e2cdea4595d7d3a3ade490']",杭州
7天连锁酒店(杭州汽车北站万达广场店),B023B149YA,住宿服务;宾馆酒店;经济型连锁酒店,花园岗街209号(广丰路与崇海路的交叉口),4.1,,荞麦,30.321449,120.119035,0571-28037128;0571-28037666,"['http://store.is.autonavi.com/showpic/f2dd31730e9e1058bb942ca560c2ed33', 'http://store.is.autonavi.com/showpic/4e459e42bb911ad5260a90723d8396c6', 'http://store.is.autonavi.com/showpic/99834dd7a69107b06c30c7e818fab3e4']",杭州
慧隆酒店(杭州火车东站东广场店),B0FFHP5V9P,住宿服务;宾馆酒店;宾馆酒店,环站东路401号,4.0,,,30.287912,120.222736,0571-88970635;15258880620,"['http://store.is.autonavi.com/showpic/1b0bcfe5faee43b578f1a2e0bc67acfe', 'http://store.is.autonavi.com/showpic/602d5920394ee48618c9d93a66d44eb9', 'http://store.is.autonavi.com/showpic/3327d704942f8b19e02ae70fcdda9d57']",杭州
杭州呀诺达酒店(杭州下沙传媒学院店),B0FFK0S489,住宿服务;宾馆酒店;宾馆酒店,元成路9号,4.5,,,30.325512,120.343978,0571-86912988,"['http://store.is.autonavi.com/showpic/11aba6d3e3b9aeeb80a53e9acb72caf2', 'http://store.is.autonavi.com/showpic/ef6255a63d313d3041954100ed507973', 'http://store.is.autonavi.com/showpic/4abad7180ea3b9d30122ed62bf071bc0']",杭州
杭州万和商务酒店,B0FFG59WW7,住宿服务;宾馆酒店;宾馆酒店,皓月路176号,4.4,,,30.233186,120.256412,0571-83537188,"['http://store.is.autonavi.com/showpic/af4807c792b2233e6108ae45cb8ab851', 'http://store.is.autonavi.com/showpic/930a3573990cbc73d4956f5f7f2d5e89', 'http://store.is.autonavi.com/showpic/68ff74d12d624227af588308adc548c8']",杭州
布丁酒店(拱宸桥东地铁站杭州师范大学附属医院店),B0FFGUEC5X,住宿服务;宾馆酒店;经济型连锁酒店,拱宸桥普金家园11-8号,4.5,,,30.320544,120.143684,0571-88071650,"['http://store.is.autonavi.com/showpic/4bd0daf88783570e0d27cfcc1403d6b1', 'http://store.is.autonavi.com/showpic/6965e464f0058fc7cad51e292f588ea8', 'http://store.is.autonavi.com/showpic/cd9b8c8098d4cad281c2f49f31f1f7ac']",杭州
杭崇精品酒店(杭州火车东站西广场店),B0FFGCYKVG,住宿服务;宾馆酒店;宾馆酒店,新风路与环站北路交汇处明桂北苑9幢底商5号,4.3,,,30.295028,120.203491,15715729261,"['http://store.is.autonavi.com/showpic/981d4325d3da58a8a450a34acc11f7a1', 'http://store.is.autonavi.com/showpic/b68ea997bc0b3416263294998050788d', 'http://store.is.autonavi.com/showpic/db2ca4a21ec9576d9672049a93dcc2ae']",杭州
锦江之星(萧山国际机场店),B023B18R7X,住宿服务;宾馆酒店;经济型连锁酒店,红山大道55号,4.0,,,30.232215,120.399536,"0571-82256777;13396569563;0571-82256777,0","['http://store.is.autonavi.com/showpic/dc478078b11ea3fd559800e693749308', 'http://store.is.autonavi.com/showpic/7c3fa5b449d38305e3a01bfa7a2c3d03', 'http://store.is.autonavi.com/showpic/a78ebf575a8d86336dc810e1ae60568c']",杭州
7天连锁酒店(杭州城站火车站店),B023B0BEO7,住宿服务;宾馆酒店;经济型连锁酒店,江城路744号(江城路地铁站A口步行130米),4.6,,大包,30.240061,120.179703,0571-28911999,"['http://store.is.autonavi.com/showpic/d4073cd50a78def521709b42e469a85d', 'http://store.is.autonavi.com/showpic/1c54b08fd2ad9c1db8bd716351bc9444', 'http://store.is.autonavi.com/showpic/d3a64d498b9ad47c88f9846c0056c2cb']",杭州
布丁酒店(杭州临平星桥店),B0FFK2XGTX,住宿服务;宾馆酒店;经济型连锁酒店,星桥街道藕花洲大街582号,4.5,,,30.393694,120.252913,0571-87800008,"['http://store.is.autonavi.com/showpic/b88d1aed787c82e8846d440277d320e2', 'http://store.is.autonavi.com/showpic/9dc2ffd1acae72c3edc1d73fc12b59fc', 'http://store.is.autonavi.com/showpic/da0b8a6f5bfb313593bb4c00e23fbb56']",杭州
黎明客房,B023B06B98,住宿服务;旅馆招待所;旅馆招待所,靖江镇申达路17-21号,3.7,,,30.230242,120.469939,0571-82151929;0571-82996180;13806509558,"['http://store.is.autonavi.com/showpic/4a9d5d23e896eac0fed65f8534837c66', 'http://store.is.autonavi.com/showpic/518da80c62dc89028817bf970523733d', 'http://store.is.autonavi.com/showpic/8238e64dbb37c1705fdab4f6e3101a8a']",杭州
布丁酒店(杭州武林广场地铁站店),B0FFFV5R0Q,住宿服务;宾馆酒店;经济型连锁酒店,湖墅南路4号联谊楼6-7层,3.7,,,30.273642,120.15712,0571-87807002;0571-87807012,"['http://store.is.autonavi.com/showpic/2bc109ba847cb8ffd893e0ac5a8f28b2', 'http://store.is.autonavi.com/showpic/e536d492df5a47d0d0733a53eba64da6', 'http://store.is.autonavi.com/showpic/c10cfd948d41e4986def9544ad48aed7']",杭州
布丁严选酒店(杭州西湖建国北路地铁站店),B023B09QGT,住宿服务;宾馆酒店;经济型连锁酒店,凤起路66号(建国北路地铁站B口步行110米),4.7,,小吃街,30.265451,120.18223,0571-85281680,"['http://store.is.autonavi.com/showpic/94c3bb11d6020edc6f5d75808a3040ae', 'http://store.is.autonavi.com/showpic/bf7a8ab224acebd6994146b64e949a1f', 'http://store.is.autonavi.com/showpic/aee232dc21c83ae0efbf0215e3d469a0']",杭州
景澜精品酒店(杭州转塘美院象山地铁站店),B0FFGBC8AG,住宿服务;宾馆酒店;宾馆酒店,转塘路364号象山艺术园区1幢1单元8-9层,3.8,,,30.148863,120.07909,0571-28250077,"['http://store.is.autonavi.com/showpic/a2bce4350de1768ce04b941883dc9fa8', 'http://store.is.autonavi.com/showpic/ee375d11bb88886fef04a5f9ea0e5c15', 'http://store.is.autonavi.com/showpic/7f1f8d980882b11769cdda2964f9107a']",杭州
杭州潮旅商务酒店,B023B1FJ9N,住宿服务;宾馆酒店;宾馆酒店,商贸路47号九堡家苑三区8排36号客运中心公交总站(客运中心站A出口东侧),3.9,,,30.312426,120.285294,"0571-85199068;0571-86482588;+861056320612,16136464","['http://store.is.autonavi.com/showpic/67f6f1657e3071532bba489512fb26c7', 'http://store.is.autonavi.com/showpic/bdfb480832c6f0a3de3e6cd021d6fdd0', 'http://store.is.autonavi.com/showpic/fa8c59496b15913cac7a18038c906268']",杭州
尚哈酒店,B023B14M7A,住宿服务;宾馆酒店;宾馆酒店,下沙开发区14号街东尚公寓对面,3.5,,,30.287301,120.355447,0571-56700599;15381138769,"['http://store.is.autonavi.com/showpic/bc6596802fd7010a6511f00cee1485a5', 'http://store.is.autonavi.com/showpic/f73069970565c0b00acb02d94f05da8b', 'http://store.is.autonavi.com/showpic/67fd8a2c5f470c4d4fd73355050328ff']",杭州
