name,id,cuisine,address,rating,price,recommendedfood,opentime,latitude,longitude,phone,city
杭州西湖风景名胜区-湖滨公园,B023B05MLT,风景名胜;公园广场;公园,龙井路1号杭州西湖风景名胜区内(东北角),4.9,,,周一至周日 00:00-24:00,30.256583,120.158818,0571-87179539,杭州
杭州西湖风景名胜区-学士公园,B023B0A6F5,风景名胜;公园广场;公园,杭州西湖风景名胜区南山路南山路,4.6,,,周一至周日 00:00-24:00,30.235885,120.155772,0571-87179539,杭州
杭州西湖风景名胜区,B023B13L9M,风景名胜;风景名胜;国家级景点,西湖街道龙井路1号,4.9,0.00,"东坡肉,面面,龙井虾仁,西湖醋鱼,特色小吃,鸽子,红叶",周一至周日 00:00-24:00,30.222724,120.121288,0571-87179617,杭州
杭州西湖风景名胜区-湖滨公园停车点,B0HUY5RU2L,交通设施服务;停车场;公共停车场,西湖隧道西湖风景区,,,,,30.25805,120.158342,,杭州
杭州西湖风景名胜区-湖边小广场,B023B18LZZ,风景名胜;公园广场;城市广场,南山路147号西湖天地内滨湖一带,4.5,,,"00:00-24:00,仅供参考,实际以商家为准",30.246978,120.158377,0571-87179539,杭州
杭州西湖风景名胜区-三公园,B023B080DN,风景名胜;公园广场;公园,龙井路1号杭州西湖风景名胜区内(东北角),4.7,,,周一至周日 00:00-24:00,30.25457,120.160749,0571-87179539,杭州
杭州西湖风景名胜区-涌金公园,B023B01D2F,风景名胜;公园广场;公园,杭州西湖风景名胜区内(东北角),4.8,,,周一至周日 00:00-24:00,30.245915,120.160139,0571-87179539,杭州
杭州西湖风景名胜区-六公园,B023B13YJB,风景名胜;公园广场;公园,杭州西湖风景名胜区内(东北角),4.8,,,周一至周日 00:00-24:00,30.258607,120.15777,0571-87179539,杭州
杭州西湖风景名胜区山景花园餐厅,B0J3THIWFU,餐饮服务;中餐厅;广东菜(粤菜),乾龙路114号,3.9,,,周一至周日 10:30-21:00,30.216137,120.118931,15858112373,杭州
杭州西湖风景名胜区-镜湖厅,B0FFHO23RW,风景名胜;风景名胜相关;旅游景点,北山街65号,4.2,0.00,,周一至周日 00:00-24:00,30.254081,120.140437,0571-87179539,杭州
西湖天地-钱塘门遗址,B023B13YJ9,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区-湖滨公园(西北角),4.4,,,,30.258065,120.15797,0571-87179539,杭州
杭州西湖风景名胜区-小瀛洲,B023B1EQ9Q,风景名胜;风景名胜相关;旅游景点,杭州西湖风景名胜区内(东北角),4.4,,,,30.240095,120.145857,0571-87179539,杭州
杭州西湖风景名胜区-鱼乐园,B0FFFQIP5T,风景名胜;风景名胜相关;旅游景点,杭州西湖风景名胜区内(东北角),4.2,,,,30.231359,120.137564,0571-87963033,杭州
杭州西湖风景名胜区-中山公园,B023B02181,风景名胜;公园广场;公园,孤山路1号杭州西湖风景名胜区内(东北角),4.7,,,周一至周日 00:00-24:00,30.250282,120.142482,0571-87996663,杭州
杭州西湖风景名胜区一公园休息区,B0FFFDHKI4,生活服务;生活服务场所;生活服务场所,湖滨路附近湖滨公园一公园内,4.2,,,,30.250368,120.161865,,杭州
杭州西湖风景名胜区-圣旨坊,B0FFFV5QC1,风景名胜;风景名胜相关;旅游景点,杭州西湖风景名胜区内(东北角),3.1,,,,30.242649,120.157157,0571-87179539,杭州
杭州西湖风景名胜区-海盐馆,B0G1RK0BW3,风景名胜;风景名胜相关;旅游景点,北山街35号,4.3,,,周一至周日 10:00-21:00,30.258393,120.147167,0571-87179539;15306597751,杭州
杭州西湖风景名胜区-古湧金门,B023B08YYX,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区南山路南山路,4.6,,,周一至周日 00:00-24:00,30.246411,120.160502,0571-87026098,杭州
杭州西湖风景名胜区-杭州西湖石刻,B0FFFDG53P,风景名胜;风景名胜相关;旅游景点,湖滨路附近湖滨公园一公园内,4.6,,,,30.250769,120.162796,0571-87179539,杭州
杭州西湖风景名胜区-西湖幽静公园,B0FFGZJE00,风景名胜;公园广场;公园,龙井路71-1号附近,3.9,,,周一至周日 00:00-24:00,30.237824,120.124742,0571-87179539,杭州
杭州西湖风景名胜区-风波亭,B023B05XKD,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区内(东北角),4.8,0.00,,周一至周日 00:00-24:00,30.260081,120.157564,0571-87179539,杭州
杭州西湖风景名胜区花港观鱼停车场,B0FFHL3WTC,交通设施服务;停车场;公共停车场,杭州西湖风景名胜区内,,,,,30.23029,120.137058,,杭州
杭州西湖风景名胜区-竹素园,B023B072Q8,风景名胜;风景名胜;风景名胜,杭州西湖风景名胜区杨公堤38号西子驿曲院风荷内(北侧),4.4,,,,30.251759,120.133759,,杭州
杭州西湖风景名胜区-江洋畈生态公园,B023B14CFT,风景名胜;公园广场;公园,龙井路1号杭州西湖风景名胜区(东南角),4.7,0.00,,周一至周日 08:30-17:00,30.20662,120.140324,0571-87983865,杭州
杭州西湖风景名胜区-西湖手摇船景点(不对外开放),B0FFJ22OVP,风景名胜;风景名胜相关;旅游景点,龙井路1号杭州西湖风景名胜区(东北角),4.4,,,,30.24277,120.132629,0571-87179539,杭州
